rule_name,description,benchmark,gpt_answer,gpt_configuration,tag,gpt_Js_each_rule_map
4.2.3 Class literals,"Class literals (whether declarations or expressions) are indented as blocks. Do not add semicolons after methods, or after the closing brace of a class declaration (statements¡ªsuch as assignments¡ªthat contain class expressions are still terminated with a semicolon). Use the `extends` keyword, but not the `@extends` JSDoc annotation unless the class extends a templatized type.
Example:
class Foo {
  constructor() {
    /** @type {number} */
    this.x = 42;
  }

  /** @return {number} */
  method() {
    return this.x;
  }
}
Foo.Empty = class {};

/** @extends {Foo<string>} */
foo.Bar = class extends Foo {
  /** @override */
  method() {
    return super.method() / 2;
  }
};

/** @interface */
class Frobnicator {
  /** @param {string} message */
  frobnicate(message) {}
}","[{'no-extra-semi': 'error', 'semi': ['error', ""'OurSetDefault'"", {'omitLastInOneLineBlock': True}]}, {'no-extra-semi': 'error', 'semi': ['error', 'OurSetDefault', {'omitLastInOneLineBlock': True}]}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: indent;
Set Values for related option values:
{{first option}}, 4;

RuleName: no-extra-semi;
Set Values for related option values:
None;

None"
4.2.4 Function expressions,"When declaring an anonymous function in the list of arguments for a function call, the body of the function is indented two spaces more than the preceding indentation depth.
Example:
prefix.something.reallyLongFunctionName('whatever', (a1, a2) => {
  // Indent the function body +2 relative to indentation depth
  // of the 'prefix' statement one line above.
  if (a1.equals(a2)) {
    someOtherLongFunctionName(a1);
  } else {
    andNowForSomethingCompletelyDifferent(a2.parrot);
  }
});

some.reallyLongFunctionCall(arg1, arg2, arg3)
    .thatsWrapped()
    .then((result) => {
      // Indent the function body +2 relative to the indentation depth
      // of the '.then()' call.
      if (result) {
        result.use();
      }
    });","[{}, {}]",Yes,{},valid config part,"RuleName: indent;
Option Rule: FunctionExpression, body: 1;
Set Values for related option values:
body: 1;

RuleName: indent;
Option Rule: CallExpression, arguments: 1;
Set Values for related option values:
arguments: 1;"
4.2.5 Switch statements,"As with any other block, the contents of a switch block are indented +2.
After a switch label, a newline appears, and the indentation level is increased +2, exactly as if a block were being opened. An explicit block may be used if required by lexical scoping. The following switch label returns to the previous indentation level, as if a block had been closed.
A blank line is optional between a `break` and the following case.
Example:
switch (animal) {
  case Animal.BANDERSNATCH:
    handleBandersnatch();
    break;

  case Animal.JABBERWOCK:
    handleJabberwock();
    break;

  default:
    throw new Error('Unknown animal');
}","[{'indent': ['error', 2, {'SwitchCase': 1}]}, {'indent': ['error', 2, {'SwitchCase': 1}]}]",Yes,"{'padding-line-between-statements': ['error', {'blankLine': 'always', 'prev': 'break', 'next': 'case'}]}",valid config part,"```plaintext
RuleName: indent;
Set Values for related option values:
SwitchCase, 2;

None

RuleName: indent;
Set Values for related option values:
SwitchCase, 2;

None

RuleName: padding-line-between-statements;
Option Rule: blankLine, always;
Set Values for related option values:
prev, break;
next, case;
```"
4.3.1 One statement per line,Each statement is followed by a line-break.,"[{'max-statements-per-line': ['error', {'max': 1}]}, {'max-statements-per-line': ['error', {'max': 1}]}]",Yes,"{'max-statements-per-line': ['error', {'max': 1}]}",valid config part,"```plaintext
RuleName: max-statements-per-line;
Set Values for related option values:
max: 1;
```
```plaintext
None
```"
4.3.2 Semicolons are required,Every statement must be terminated with a semicolon. Relying on automatic semicolon insertion is forbidden.,"[{'semi': ['error', 'always']}, {'semi': ['error', 'always']}]",Yes,"{'semi': ['error', 'always']}",valid config part,"RuleName: semi;
Option Rule: first option, always;
Set Values for related option values:
first option, always;

RuleName: semi;
Option Rule: fourth option, never;
Set Values for related option values:
fourth option, never;"
4.4 Column limit: 80,"JavaScript code has a column limit of 80 characters. Except as noted below, any line that would exceed this limit must be line-wrapped, as explained in ?? .
Exceptions:
`goog.module` , `goog.require` and `goog.requireType` statements (see ?? and ?? ). 
ES module `import` and `exportfrom` statements (see ?? and ?? ). 
Lines where obeying the column limit is not possible or would hinder discoverability. Examples include: 
A long URL which should be clickable in source. 
A shell command intended to be copied-and-pasted. 
A long string literal which may need to be copied or searched for wholly (e.g., a long file path).","[{'max-len': ['error', {'ignoreUrls': True, 'ignoreStrings': True, 'ignorePattern': 'OurSetDefault'}]}, {'max-len': ['error', {'code': 80, 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': True, 'ignoreStrings': True, 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]}]",Yes,"{'max-len': ['error', {'code': 80, 'ignorePattern': 'goog.module|goog.require|goog.requireType|ImportStatement|ExportFromStatement'}]}",valid config part,"RuleName: max-len;
Set Values for related option values:
max, 80;

RuleName: max-len;
Set Values for related option values:
code, 80;

RuleName: max-len;
Option Rule: ignorePattern, ""goog.module|goog.require|goog.requireType|import|export"";
Set Values for related option values:
ignorePattern, ""goog.module|goog.require|goog.requireType|import|export"";

RuleName: max-len;
Option Rule: ignorePattern, "".*"";
Set Values for related option values:
ignorePattern, "".*"";"
4.5.1 Where to break,"The prime directive of line-wrapping is: prefer to break at a higher syntactic level .
Preferred:
currentEstimate =
    calc(currentEstimate + x * currentEstimate) /
        2.0;

Discouraged:
currentEstimate = calc(currentEstimate + x *
    currentEstimate) / 2.0;

In the preceding example, the syntactic levels from highest to lowest are as follows: assignment, division, function call, parameters, number constant.
Operators are wrapped as follows:
When a line is broken at an operator the break comes after the symbol. (Note that this is not the same practice used in Google style for Java.) 
This does not apply to the dot ( `.` ), which is not actually an operator. 
A method or constructor name stays attached to the open parenthesis ( `(` ) that follows it. 
A comma ( `,` ) stays attached to the token that precedes it.
Note: The primary goal for line wrapping is to have clear code, not necessarily code that fits in the smallest number of lines.","[{'operator-linebreak': ['error', 'after'], 'space-before-function-paren': ['error', 'never'], 'func-call-spacing': ['error', 'never'], 'comma-spacing': ['error', {'before': False}]}, {'operator-linebreak': ['error', 'after', {'overrides': 'OurSetDefault'}], 'space-before-function-paren': ['error', {'anonymous': 'never', 'named': 'never', 'asyncArrow': 'never'}], 'func-call-spacing': ['error', 'never'], 'comma-spacing': ['error', {'before': False, 'after': 'OurSetDefault'}]}]",Yes,"{'operator-linebreak': ['error', 'after', {'overrides': {'.': 'none'}}], 'func-call-spacing': ['error', 'never'], 'comma-style': ['error', 'last']}",valid config part,"RuleName: operator-linebreak;
Set Values for related option values:
string option, before;

RuleName: dot-location;
Set Values for related option values:
dot-location, property;

RuleName: func-call-spacing;
Set Values for related option values:
string, never;

RuleName: comma-spacing;
Set Values for related option values:
after, true;"
4.5.2 Indent continuation lines at least +4 spaces,"When line-wrapping, each line after the first (each continuation line ) is indented at least +4 from the original line, unless it falls under the rules of block indentation.
When there are multiple continuation lines, indentation may be varied beyond +4 as appropriate. In general, continuation lines at a deeper syntactic level are indented by larger multiples of 4, and two lines use the same indentation level if and only if they begin with syntactically parallel elements.
?? addresses the discouraged practice of using a variable number of spaces to align certain tokens with previous lines.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: indent;
Set Values for related option values:
indent, 4;

RuleName: indent;
Set Values for related option values:
indent, 4;
ignoredNodes, [""BlockStatement""];

RuleName: indent;
Set Values for related option values:
indent, 4;

RuleName: indent;
Set Values for related option values:
indent, 4;

RuleName: indent;
Set Values for related option values:
indent, first;"
4.6.1 Vertical whitespace,"A single blank line appears:
Between consecutive methods in a class or object literal 
Exception: A blank line between two consecutive properties definitions in an object literal (with no other code between them) is optional. Such blank lines are used as needed to create logical groupings of fields. 
Within method bodies, sparingly to create logical groupings of statements. Blank lines at the start or end of a function body are not allowed. 
Optionally before the first or after the last method in a class or object literal (neither encouraged nor discouraged). 
As required by other sections of this document (e.g. ?? ).
Multiple consecutive blank lines are permitted, but never required (nor encouraged).","[{'lines-between-class-members': ['error', {'enforce': [{'blankLine': 'always', 'prev': 'method', 'next': 'method'}]}], 'padded-blocks': ['error', {'blocks': 'never'}]}, {'lines-between-class-members': ['error', {'enforce': [{'blankLine': 'always', 'prev': 'method', 'next': 'method'}]}], 'padded-blocks': ['error', 'never']}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: lines-between-class-members;
Set Values for related option values:
always;

RuleName: padded-blocks;
Set Values for related option values:
never;

RuleName: padding-line-between-statements;
Option Rule: blankLine, always;
Set Values for related option values:
prev: property;
next: property;

RuleName: padding-line-between-statements;
Option Rule: blankLine, always;
Set Values for related option values:
prev: statement;
next: statement;

RuleName: lines-between-class-members;
Option Rule: always;
Set Values for related option values:
prev: firstMethod;
next: lastMethod;

RuleName: no-multiple-empty-lines;
Option Rule: max, 10;
Set Values for related option values:
max: 10;

RuleName: padding-line-between-statements;
Option Rule: blankLine, always;
Set Values for related option values:
prev: property;
next: property;

None"
4.6.2 Horizontal whitespace,"Use of horizontal whitespace depends on location, and falls into three broad categories: leading (at the start of a line), trailing (at the end of a line), and internal . Leading whitespace (i.e., indentation) is addressed elsewhere. Trailing whitespace is forbidden.
Beyond where required by the language or other style rules, and apart from literals, comments, and JSDoc, a single internal ASCII space also appears in the following places only .
Separating any reserved word (such as `if` , `for` , or `catch` ) except for `function` and `super` , from an open parenthesis ( `(` ) that follows it on that line. 
Separating any reserved word (such as `else` or `catch` ) from a closing curly brace ( `}` ) that precedes it on that line. 
Before any open curly brace ( `{` ), with two exceptions: 
Before an object literal that is the first argument of a function or the first element in an array literal (e.g. `foo({a:[{c:d}]})` ). 
In a template expansion, as it is forbidden by the language (e.g. valid: ``ab${1+2}cd`` , invalid: ``xy${3}z`` ). 
On both sides of any binary or ternary operator. 
After a comma ( `,` ) or semicolon ( `;` ). Note that spaces are never allowed before these characters. 
After the colon ( `:` ) in an object literal. 
On both sides of the double slash ( `//` ) that begins an end-of-line comment. Here, multiple spaces are allowed, but not required. 
After an open-block comment character and on both sides of close characters (e.g. for short-form type declarations, casts, and parameter name comments: `this.foo=/**@type{number}*/(bar)` ; or `function(/**string*/foo){` ; or `baz(/*buzz=*/true)` ).","[{'no-trailing-spaces': ['error', {'skipBlankLines': 'OurSetDefault', 'ignoreComments': 'OurSetDefault'}], 'keyword-spacing': ['error', {'before': 'OurSetDefault', 'after': True, 'overrides': {'function': {'before': 'OurSetDefault', 'after': False}, 'super': {'before': 'OurSetDefault', 'after': False}, 'else': {'before': True, 'after': 'OurSetDefault'}, 'catch': {'before': True, 'after': 'OurSetDefault'}}}], 'space-infix-ops': ['error', {'int32Hint': False}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'semi-spacing': ['error', {'before': False, 'after': True}], 'key-spacing': ['error', {'beforeColon': False, 'afterColon': True, 'mode': 'OurSetDefault', 'align': 'OurSetDefault'}], 'spaced-comment': ['always']}, {'no-trailing-spaces': ['error', {'skipBlankLines': 'OurSetDefault', 'ignoreComments': 'OurSetDefault'}], 'keyword-spacing': ['error', {'before': 'OurSetDefault', 'after': True, 'overrides': {'function': {'before': 'OurSetDefault', 'after': False}, 'super': {'before': 'OurSetDefault', 'after': False}, 'else': {'before': True, 'after': 'OurSetDefault'}, 'catch': {'before': True, 'after': 'OurSetDefault'}}}], 'space-infix-ops': ['error', {'int32Hint': 'OurSetDefault'}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'semi-spacing': ['error', {'before': False, 'after': True}], 'key-spacing': ['error', {'beforeColon': False, 'afterColon': True, 'mode': 'OurSetDefault', 'align': 'OurSetDefault'}], 'spaced-comment': ['always']}]",Yes,"{'no-trailing-spaces': ['error', {'skipBlankLines': False, 'ignoreComments': False}], 'keyword-spacing': ['error', {'before': True, 'after': True, 'overrides': {'function': {'before': False}, 'super': {'before': False}}}], 'template-curly-spacing': ['error', 'never'], 'space-infix-ops': ['error', {'int32Hint': False}]}",valid config part,"```plaintext
RuleName: no-trailing-spaces;
Set Values for related option values:
skipBlankLines: false;
ignoreComments: false;

None

RuleName: keyword-spacing;
Set Values for related option values:
before: true;
after: true;
overrides: {
  ""function"": { ""before"": false },
  ""super"": { ""before"": false }
};

RuleName: keyword-spacing;
Set Values for related option values:
before: true;
after: true;
overrides: {
  ""reservedWord"": { ""before"": true, ""after"": false }
};

RuleName: object-curly-spacing;
Set Values for related option values:
always;
arraysInObjects: false;
objectsInObjects: false;

RuleName: space-infix-ops;
Set Values for related option values:
int32Hint: false;

RuleName: comma-spacing;
Set Values for related option values:
before: false;
after: true;

RuleName: semi-spacing;
Set Values for related option values:
before: false;
after: true;

RuleName: key-spacing;
Set Values for related option values:
beforeColon: false;
afterColon: true;

RuleName: spaced-comment;
Set Values for related option values:
spacing: always;

RuleName: spaced-comment;
Set Values for related option values:
spacing: always;
balanced: true;
```"
4.6.3 Horizontal alignment: discouraged,"Terminology Note : Horizontal alignment is the practice of adding a variable number of additional spaces in your code with the goal of making certain tokens appear directly below certain other tokens on previous lines.
This practice is permitted, but it is generally discouraged by Google Style. It is not even required to maintain horizontal alignment in places where it was already used.
Here is an example without alignment, followed by one with alignment. Both are allowed, but the latter is discouraged:
{
  tiny: 42, // this is great
  longer: 435, // this too
};

{
  tiny:   42,  // permitted, but future edits
  longer: 435, // may leave it unaligned
};

Tip: Alignment can aid readability, but it creates problems for future maintenance. Consider a future change that needs to touch just one line. This change may leave the formerly-pleasing formatting mangled, and that is allowed. More often it prompts the coder (perhaps you) to adjust whitespace on nearby lines as well, possibly triggering a cascading series of reformattings. That one-line change now has a blast radius. This can at worst result in pointless busywork, but at best it still corrupts version history information, slows down reviewers and exacerbates merge conflicts.","[{}, {}]",Yes,{},valid config part,None
4.6.4 Function arguments,"Prefer to put all function arguments on the same line as the function name. If doing so would exceed the 80-column limit, the arguments must be line-wrapped in a readable way. To save space, you may wrap as close to 80 as possible, or put each argument on its own line to enhance readability. Indentation should be four spaces. Aligning to the parenthesis is allowed, but discouraged. Below are the most common patterns for argument wrapping:
// Arguments start on a new line, indented four spaces. Preferred when the
// arguments don't fit on the same line with the function name (or the keyword
// ""function"") but fit entirely on the second line. Works with very long
// function names, survives renaming without reindenting, low on space.
doSomething(
    descriptiveArgumentOne, descriptiveArgumentTwo, descriptiveArgumentThree) {
  // ¡­
}

// If the argument list is longer, wrap at 80. Uses less vertical space,
// but violates the rectangle rule and is thus not recommended.
doSomething(veryDescriptiveArgumentNumberOne, veryDescriptiveArgumentTwo,
    tableModelEventHandlerProxy, artichokeDescriptorAdapterIterator) {
  // ¡­
}

// Four-space, one argument per line.  Works with long function names,
// survives renaming, and emphasizes each argument.
doSomething(
    veryDescriptiveArgumentNumberOne,
    veryDescriptiveArgumentTwo,
    tableModelEventHandlerProxy,
    artichokeDescriptorAdapterIterator) {
  // ¡­
}","[{'indent': ['error', 2, {'FunctionDeclaration': {'parameters': 2}}]}, {'indent': ['error', 2, {'FunctionDeclaration': {'parameters': 2}}]}]",Yes,{},valid config part,None
4.7 Grouping parentheses: recommended,"Optional grouping parentheses are omitted only when the author and reviewer agree that there is no reasonable chance that the code will be misinterpreted without them, nor would they have made the code easier to read. It is not reasonable to assume that every reader has the entire operator precedence table memorized.
Do not use unnecessary parentheses around the entire expression following `delete` , `typeof` , `void` , `return` , `throw` , `case` , `in` , `of` , or `yield` .
Parentheses are required for type casts: `/**@type{!Foo}*/(foo)` .","[{'no-extra-parens': ['error', 'all', {'allowParensAfterCommentPattern': '@type'}]}, {'no-extra-parens': ['error', 'all', {'conditionalAssign': 'OurSetDefault', 'returnAssign': 'OurSetDefault', 'nestedBinaryExpressions': 'OurSetDefault', 'ternaryOperandBinaryExpressions': 'OurSetDefault', 'ignoreJSX': 'OurSetDefault', 'enforceForArrowConditionals': 'OurSetDefault', 'enforceForSequenceExpressions': 'OurSetDefault', 'enforceForNewInMemberExpressions': 'OurSetDefault', 'enforceForFunctionPrototypeMethods': 'OurSetDefault', 'allowParensAfterCommentPattern': 'OurSetDefault'}]}]",No,"{
  ""Answer"": ""No"",
  ""Configuration"": {}
}",y_or_n is not Yes,"```plaintext
RuleName: no-extra-parens;
Set Values for related option values:
first option, all;
third option, false;
fourth option, false;
fifth option, false;
sixth option, false;
seventh option, none;
eighth option, false;
ninth option, false;
tenth option, false;
eleventh option, false;
twelfth option, None;
****
None
```"
4.8.1 Block comment style,"Block comments are indented at the same level as the surrounding code. They may be in `/*¡­*/` or `//` -style. For multi-line `/*¡­*/` comments, subsequent lines must start with * aligned with the `*` on the previous line, to make comments obvious with no extra context.
/*
 * This is
 * okay.
 */

// And so
// is this.

/* This is fine, too. */

Comments are not enclosed in boxes drawn with asterisks or other characters.
Do not use JSDoc ( `/**¡­*/` ) for implementation comments.","[{}, {}]",Yes,"{'multiline-comment-style': ['error', 'starred-block']}",valid config part,None
4.8.2 Parameter Name Comments,"¡°Parameter name¡± comments should be used whenever the value and method name do not sufficiently convey the meaning, and refactoring the method to be clearer is infeasible . Their preferred format is before the value with = :
someFunction(obviousParam, /* shouldRender= */ true, /* name= */ 'hello');

For consistency with surrounding code you may put them after the value without = :
someFunction(obviousParam, true /* shouldRender */, 'hello' /* name */);
","[{}, {}]",No,"{
  ""Answer"": ""No"",
  ""Configuration"": {}
}",y_or_n is not Yes,None
5.1.1 Use const and let,"Declare all local variables with either `const` or `let` . Use const by default, unless a variable needs to be reassigned. The `var` keyword must not be used.","[{'no-var': 'error', 'prefer-const': ['error', {'destructuring': 'any'}]}, {'no-var': 'error', 'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': 'OurSetDefault'}]}]",Yes,{'no-var': ['error']},valid config part,"```plaintext
RuleName: prefer-const;
Option Rule: destructuring, any;
Option Rule: ignoreReadBeforeAssign, false;
Set Values for related option values:
destructuring, any;
ignoreReadBeforeAssign, false;

RuleName: prefer-const;
Option Rule: destructuring, any;
Option Rule: ignoreReadBeforeAssign, false;
Set Values for related option values:
destructuring, any;
ignoreReadBeforeAssign, false;

RuleName: no-var;
Set Values for related option values:
None;
```"
5.1.2 One variable per declaration,"Every local variable declaration declares only one variable: declarations such as `leta=1,b=2;` are not used.","[{'one-var': ['error', 'always']}, {'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always', 'separateRequires': 'OurSetDefault'}]}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: one-var;
Option Rule: never;
Set Values for related option values:
first option: never;"
"5.1.3 Declared when needed, initialized as soon as possible","Local variables are not habitually declared at the start of their containing block or block-like construct. Instead, local variables are declared close to the point they are first used (within reason), to minimize their scope.","[{}, {}]",No,"{
  ""Answer"": ""No"",
  ""Configuration"": {}
}",y_or_n is not Yes,None
5.1.4 Declare types as needed,"JSDoc type annotations may be added either on the line above the declaration, or else inline before the variable name if no other JSDoc is present.
Example:
const /** !Array<number> */ data = [];

/**
 * Some description.
 * @type {!Array<number>}
 */
const data = [];

Mixing inline and JSDoc styles is not allowed: the compiler will only process the first JsDoc and the inline annotations will be lost.
/** Some description. */
const /** !Array<number> */ data = [];

Tip: There are many cases where the compiler can infer a templatized type but not its parameters. This is particularly the case when the initializing literal or constructor call does not include any values of the template parameter type (e.g., empty arrays, objects, `Map` s, or `Set` s), or if the variable is modified in a closure. Local variable type annotations are particularly helpful in these cases since otherwise the compiler will infer the template parameter as unknown.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.2.1 Use trailing commas,"Include a trailing comma whenever there is a line break between the final element and the closing bracket.
Example:
const values = [
  'first value',
  'second value',
];
","[{'comma-dangle': ['error', 'always-multiline']}, {'comma-dangle': ['error', {'arrays': 'always-multiline', 'objects': 'OurSetDefault', 'imports': 'OurSetDefault', 'exports': 'OurSetDefault', 'functions': 'OurSetDefault'}]}]",Yes,"{'comma-dangle': ['error', 'always-multiline']}",valid config part,"RuleName: comma-dangle;
Option Rule: arrays, always-multiline;
Set Values for related option values:
arrays, always-multiline;"
5.2.2 Do not use the variadic Array constructor,"The constructor is error-prone if arguments are added or removed. Use a literal instead.
Disallowed:
const a1 = new Array(x1, x2, x3);
const a2 = new Array(x1, x2);
const a3 = new Array(x1);
const a4 = new Array();

This works as expected except for the third case: if `x1` is a whole number then `a3` is an array of size `x1` where all elements are `undefined` . If `x1` is any other number, then an exception will be thrown, and if it is anything else then it will be a single-element array.
Instead, write
const a1 = [x1, x2, x3];
const a2 = [x1, x2];
const a3 = [x1];
const a4 = [];

Explicitly allocating an array of a given length using `newArray(length)` is allowed when appropriate.","[{'no-array-constructor': 'error'}, {'no-array-constructor': 'error'}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: no-array-constructor;
Set Values for related option values:
None;

None"
5.2.3 Non-numeric properties,Do not define or use non-numeric properties on an array (other than `length` ). Use a `Map` (or `Object` ) instead.,"[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"```plaintext
RuleName: no-restricted-properties;
Set Values for related option values:
object, ""Array"";
property, ""length"";

None
```"
5.2.4 Destructuring,"Array literals may be used on the left-hand side of an assignment to perform destructuring (such as when unpacking multiple values from a single array or iterable). A final rest element may be included (with no space between the `...` and the variable name). Elements should be omitted if they are unused.
const [a, b, c, ...rest] = generateResults();
let [, b,, d] = someArray;

Destructuring may also be used for function parameters (note that a parameter name is required but ignored). Always specify `[]` as the default value if a destructured array parameter is optional, and provide default values on the left hand side:
/** @param {!Array<number>=} param1 */
function optionalDestructuring([a = 4, b = 2] = []) { ¡­ };

Disallowed:
function badDestructuring([a, b] = [4, 2]) { ¡­ };

Tip: For (un)packing multiple values into a function¡¯s parameter or return, prefer object destructuring to array destructuring when possible, as it allows naming the individual elements and specifying a different type for each.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

RuleName: rest-spread-spacing;
Option Rule: rest-spread-spacing, never;
Set Values for related option values:
rest-spread-spacing, never;

RuleName: no-unused-vars;
Set Values for related option values:
vars, all;

RuleName: prefer-destructuring;
Option Rule: array, true;
Set Values for related option values:
array, true;

None

None"
5.2.5 Spread operator,"Array literals may include the spread operator ( `...` ) to flatten elements out of one or more other iterables. The spread operator should be used instead of more awkward constructs with `Array.prototype` . There is no space after the `...` .
Example:
[...foo]   // preferred over Array.prototype.slice.call(foo)
[...foo, ...bar]   // preferred over foo.concat(bar)
","[{'rest-spread-spacing': ['error', 'never']}, {'rest-spread-spacing': ['error', 'never']}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: rest-spread-spacing;
Option Rule: rest-spread-spacing, never;
Set Values for related option values:
rest-spread-spacing, never;"
5.3.1 Use trailing commas,Include a trailing comma whenever there is a line break between the final property and the closing brace.,"[{'comma-dangle': ['error', 'always-multiline']}, {'comma-dangle': ['error', {'arrays': 'OurSetDefault', 'objects': 'always-multiline', 'imports': 'OurSetDefault', 'exports': 'OurSetDefault', 'functions': 'OurSetDefault'}]}]",Yes,"{'comma-dangle': ['error', 'always-multiline']}",valid config part,"RuleName: comma-dangle;
Option Rule: always-multiline;
Set Values for related option values:
always-multiline, true;"
5.3.2 Do not use the Object constructor,"While `Object` does not have the same problems as `Array` , it is still disallowed for consistency. Use an object literal ( `{}` or `{a:0,b:1,c:2}` ) instead.","[{'no-object-constructor': 'error', 'no-new-object': 'error'}, {'no-object-constructor': 'error', 'no-new-object': 'error'}]",Yes,{'no-new-object': ['error']},valid config part,"RuleName: no-new-object;
Set Values for related option values:
None;

RuleName: no-object-constructor;
Set Values for related option values:
None;

RuleName: key-spacing;
Option Rule: beforeColon, false;
Option Rule: afterColon, true;
Option Rule: mode, strict;
Set Values for related option values:
beforeColon, false;
afterColon, true;
mode, strict;

RuleName: object-curly-spacing;
Option Rule: string option, always;
Set Values for related option values:
string option, always;

RuleName: object-property-newline;
Option Rule: allowAllPropertiesOnSameLine, false;
Set Values for related option values:
allowAllPropertiesOnSameLine, false;"
5.3.3 Do not mix quoted and unquoted keys,"Object literals may represent either structs (with unquoted keys and/or symbols) or dicts (with quoted and/or computed keys). Do not mix these key types in a single object literal.
Disallowed:
{
  width: 42, // struct-style unquoted key
  'maxWidth': 43, // dict-style quoted key
}

This also extends to passing the property name to functions, like `hasOwnProperty` . In particular, doing so will break in compiled code because the compiler cannot rename/obfuscate the string literal.
Disallowed:
/** @type {{width: number, maxWidth: (number|undefined)}} */
const o = {width: 42};
if (o.hasOwnProperty('maxWidth')) {
  ...
}

This is best implemented as:
/** @type {{width: number, maxWidth: (number|undefined)}} */
const o = {width: 42};
if (o.maxWidth != null) {
  ...
}","[{'quote-props': ['error', 'consistent']}, {'quote-props': ['error', 'consistent']}]",Yes,"{'quote-props': ['error', 'consistent']}",valid config part,"```plaintext
RuleName: quote-props;
Option Rule: first option, consistent;
Set Values for related option values:
first option, consistent;

None
```"
5.3.4 Computed property names,"Computed property names (e.g., `{['key'+foo()]:42}` ) are allowed, and are considered dict-style (quoted) keys (i.e., must not be mixed with non-quoted keys) unless the computed property is a symbol (e.g., `[Symbol.iterator]` ). Enum values may also be used for computed keys, but should not be mixed with non-enum keys in the same literal.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
5.3.5 Method shorthand,"Methods can be defined on object literals using the method shorthand ( `{method(){¡­}}` ) in place of a colon immediately followed by a `function` or arrow function literal.
Example:
return {
  stuff: 'candy',
  method() {
    return this.stuff;  // Returns 'candy'
  },
};

Note that `this` in a method shorthand or `function` refers to the object literal itself whereas `this` in an arrow function refers to the scope outside the object literal.
Example:
class {
  getObjectLiteral() {
    this.stuff = 'fruit';
    return {
      stuff: 'candy',
      method: () => this.stuff,  // Returns 'fruit'
    };
  }
}
","[{'object-shorthand': ['error', 'methods']}, {'object-shorthand': ['error', 'methods']}]",Yes,"{'object-shorthand': ['error', 'methods']}",valid config part,"RuleName: object-shorthand;
Option Rule: when, methods;
Set Values for related option values:
when, methods;"
5.3.6 Shorthand properties,"Shorthand properties are allowed on object literals.
Example:
const foo = 1;
const bar = 2;
const obj = {
  foo,
  bar,
  method() { return this.foo + this.bar; },
};
assertEquals(3, obj.method());","[{'object-shorthand': ['error', 'properties']}, {'object-shorthand': ['error', 'properties']}]",No,"{
  ""Answer"": ""No"",
  ""Configuration"": {}
}",y_or_n is not Yes,"RuleName: object-shorthand;
Option Rule: when, always;
Set Values for related option values:
when, always;"
5.3.7 Destructuring,"Object destructuring patterns may be used on the left-hand side of an assignment to perform destructuring and unpack multiple values from a single object.
Destructured objects may also be used as function parameters, but should be kept as simple as possible: a single level of unquoted shorthand properties. Deeper levels of nesting and computed properties may not be used in parameter destructuring. Specify any default values in the left-hand-side of the destructured parameter ( `{str='somedefault'}={}` , rather than `{str}={str:'somedefault'}` ), and if a destructured object is itself optional, it must default to `{}` . The JSDoc for the destructured parameter may be given any name (the name is unused but is required by the compiler).
Example:
/**
 * @param {string} ordinary
 * @param {{num: (number|undefined), str: (string|undefined)}=} param1
 *     num: The number of times to do something.
 *     str: A string to do stuff to.
 */
function destructured(ordinary, {num, str = 'some default'} = {})

Disallowed:
/** @param {{x: {num: (number|undefined), str: (string|undefined)}}} param1 */
function nestedTooDeeply({x: {num, str}}) {};
/** @param {{num: (number|undefined), str: (string|undefined)}=} param1 */
function nonShorthandProperty({num: a, str: b} = {}) {};
/** @param {{a: number, b: number}} param1 */
function computedKey({a, b, [a + b]: c}) {};
/** @param {{a: number, b: string}=} param1 */
function nontrivialDefault({a, b} = {a: 2, b: 4}) {};

Destructuring may also be used for `goog.require` statements, and in this case must not be wrapped: the entire statement occupies one line, regardless of how long it is (see ?? ).","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

None

None

RuleName: default-param-last;
Set Values for related option values:
None;

None

RuleName: require-jsdoc;
Option Rule: require; object;
Set Values for related option values:
FunctionDeclaration, true;
MethodDefinition, true;
ClassDeclaration, true;
ArrowFunctionExpression, true;
FunctionExpression, true;

None"
