rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
4.2.2 Object literals: optionally block-like,"Any object literal may optionally be formatted as if it were a “block-like construct.” The same examples apply as ?? . For example, the following are all valid ( not an exhaustive list):
 const a = {
  a: 0,
  b: 1,
 };
 
 const b =
  {a: 0, b: 1};
 
 const c = {a: 0, b: 1};
 
 someMethod(foo, {
  a: 0, b: 1,
 }, bar);",,Yes,"{'object-shorthand': ['error'], 'no-lone-blocks': ['error'], 'no-inner-declarations': ['error', 'functions'], 'no-dupe-keys': ['error'], 'arrow-body-style': ['error', 'as-needed'], 'no-object-constructor': ['error'], 'padded-blocks': ['error', 'always'], 'no-var': ['error'], 'object-property-newline': ['error', {'allowAllPropertiesOnSameLine': True}], 'block-scoped-var': ['error'], 'prefer-object-spread': ['error'], 'no-throw-literal': ['error'], 'comma-dangle': ['error', 'always-multiline'], 'dot-notation': ['error'], 'no-multi-assign': ['error'], 'prefer-destructuring': ['error', {'object': True, 'array': False}], 'no-with': ['error'], 'no-new-object': ['error'], 'one-var': ['error', 'never'], 'no-empty-function': ['error', {'allow': ['functions', 'methods', 'constructors']}]}",valid config part
4.2.3 Class literals,"Class literals (whether declarations or expressions) are indented as blocks. Do not add semicolons after methods, or after the closing brace of a class declaration (statements—such as assignments—that contain class expressions are still terminated with a semicolon). Use the `extends` keyword, but not the `@extends` JSDoc annotation unless the class extends a templatized type.
 Example:
 class Foo {
  constructor() {
  /** @type {number} */
  this.x = 42;
  }
 
  /** @return {number} */
  method() {
  return this.x;
  }
 }
 Foo.Empty = class {};
 
 /** @extends {Foo<string>} */
 foo.Bar = class extends Foo {
  /** @override */
  method() {
  return super.method() / 2;
  }
 };
 
 /** @interface */
 class Frobnicator {
  /** @param {string} message */
  frobnicate(message) {}
 }","{'indent': ['error', 2], 'no-extra-semi': 'error'}",Yes,"{'no-extra-semi': 'error', 'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': True, 'ignoreComments': False}], 'no-lone-blocks': 'error', 'no-inner-declarations': ['error', 'functions'], 'no-class-assign': 'error', 'no-dupe-class-members': 'error', 'no-useless-constructor': 'error'}",valid config part
4.2.4 Function expressions,"When declaring an anonymous function in the list of arguments for a function call, the body of the function is indented two spaces more than the preceding indentation depth.
 Example:
 prefix.something.reallyLongFunctionName('whatever', (a1, a2) => {
  // Indent the function body +2 relative to indentation depth
  // of the 'prefix' statement one line above.
  if (a1.equals(a2)) {
  someOtherLongFunctionName(a1);
  } else {
  andNowForSomethingCompletelyDifferent(a2.parrot);
  }
 });
 
 some.reallyLongFunctionCall(arg1, arg2, arg3)
  .thatsWrapped()
  .then((result) => {
  // Indent the function body +2 relative to the indentation depth
  // of the '.then()' call.
  if (result) {
  result.use();
  }
  });","{'indent': ['error', 2, {'FunctionExpression': {'body': 1, 'parameters': 2}, 'MemberExpression': 2}]}",Yes,"{'indent': ['error', 2, {'FunctionExpression': {'body': 2}, 'CallExpression': {'arguments': 2}}]}",valid config part
4.2.5 Switch statements,"As with any other block, the contents of a switch block are indented +2.
 After a switch label, a newline appears, and the indentation level is increased +2, exactly as if a block were being opened. An explicit block may be used if required by lexical scoping. The following switch label returns to the previous indentation level, as if a block had been closed.
 A blank line is optional between a `break` and the following case.
 Example:
 switch (animal) {
  case Animal.BANDERSNATCH:
  handleBandersnatch();
  break;
 
  case Animal.JABBERWOCK:
  handleJabberwock();
  break;
 
  default:
  throw new Error('Unknown animal');
 }","{'indent': ['error', 2, {'SwitchCase': 1}]}",Yes,"{'indent': ['error', 2, {'SwitchCase': 1}], 'no-duplicate-case': 'error', 'default-case-last': 'error', 'no-case-declarations': 'error', 'no-fallthrough': 'error', 'no-labels': ['error', {'allowLoop': False, 'allowSwitch': False}], 'no-lone-blocks': 'error', 'brace-style': ['error', '1tbs', {'allowSingleLine': True}], 'space-before-blocks': ['error', 'always'], 'no-extra-label': 'error', 'no-unsafe-finally': 'error', 'curly': ['error', 'all'], 'no-unreachable': 'error', 'default-case': ['error', {'commentPattern': '^no default$'}], 'no-continue': 'error', 'no-inner-declarations': ['error', 'both'], 'switch-colon-spacing': ['error', {'after': True, 'before': False}]}",valid config part
4.3 Statements,4.3 Statements,,Yes,"{'max-statements': ['error', {'max': 10, 'ignoreTopLevelFunctions': False}], 'max-statements-per-line': ['error', {'max': 1}], 'no-continue': 'error'}",valid config part
4.3.1 One statement per line,Each statement is followed by a line-break.,"{'max-statements-per-line': ['error', {'max': 1}]}",Yes,"{'max-statements-per-line': ['error', {'max': 1}]}",valid config part
4.3.2 Semicolons are required,Every statement must be terminated with a semicolon. Relying on automatic semicolon insertion is forbidden.,"{'semi': ['error', 'always']}",Yes,"{'semi': ['error', 'always'], 'no-extra-semi': 'error', 'no-unexpected-multiline': 'error', 'semi-spacing': ['error', {'before': False, 'after': True}], 'semi-style': ['error', 'last']}",valid config part
4.4 Column limit: 80,"JavaScript code has a column limit of 80 characters. Except as noted below, any line that would exceed this limit must be line-wrapped, as explained in ?? .
 Exceptions:
 `goog.module` , `goog.require` and `goog.requireType` statements (see ?? and ?? ). 
 ES module `import` and `exportfrom` statements (see ?? and ?? ). 
 Lines where obeying the column limit is not possible or would hinder discoverability. Examples include: 
 A long URL which should be clickable in source. 
 A shell command intended to be copied-and-pasted. 
 A long string literal which may need to be copied or searched for wholly (e.g., a long file path).","{'max-len': ['error', {'ignoreUrls': True, 'ignoreStrings': True, 'ignorePattern': 'OurSetDefault'}]}",Yes,"{'max-len': [{'code': 80, 'ignorePattern': 'goog\\.module|goog\\.require|goog\\.requireType|import|export', 'ignoreUrls': True, 'ignoreStrings': True}]}",valid config part
4.5 Line-wrapping,"Terminology Note : Line wrapping is breaking a chunk of code into multiple lines to obey column limit, where the chunk could otherwise legally fit in a single line.
 There is no comprehensive, deterministic formula showing exactly how to line-wrap in every situation. Very often there are several valid ways to line-wrap the same piece of code.
 Note: While the typical reason for line-wrapping is to avoid overflowing the column limit, even code that would in fact fit within the column limit may be line-wrapped at the author's discretion.
 Tip: Extracting a method or local variable may solve the problem without the need to line-wrap.",,Yes,"{'newline-per-chained-call': ['error', {'ignoreChainWithDepth': 2}], 'max-len': ['error', {'code': 80, 'tabWidth': 4, 'ignoreUrls': True}], 'max-statements-per-line': ['error', {'max': 1}], 'operator-linebreak': ['error', 'after', {'overrides': {'?': 'before', ':': 'before'}}], 'one-var-declaration-per-line': ['error', 'always'], 'object-property-newline': ['error', {'allowAllPropertiesOnSameLine': False}]}",valid config part
4.5.1 Where to break,"The prime directive of line-wrapping is: prefer to break at a higher syntactic level .
 Preferred:
 currentEstimate =
  calc(currentEstimate + x * currentEstimate) /
  2.0;
 
 Discouraged:
 currentEstimate = calc(currentEstimate + x *
  currentEstimate) / 2.0;
 
 In the preceding example, the syntactic levels from highest to lowest are as follows: assignment, division, function call, parameters, number constant.
 Operators are wrapped as follows:
 When a line is broken at an operator the break comes after the symbol. (Note that this is not the same practice used in Google style for Java.) 
 This does not apply to the dot ( `.` ), which is not actually an operator. 
 A method or constructor name stays attached to the open parenthesis ( `(` ) that follows it. 
 A comma ( `,` ) stays attached to the token that precedes it.
 Note: The primary goal for line wrapping is to have clear code, not necessarily code that fits in the smallest number of lines.","{'operator-linebreak': ['error', 'after'], 'space-before-function-paren': ['error', 'never'], 'comma-style': ['error', 'last'], 'comma-spacing': ['error', {'before': False}]}",Yes,"{'operator-linebreak': ['after', {'overrides': {'.': 'before'}}], 'dot-location': 'property'}",valid config part
4.5.2 Indent continuation lines at least +4 spaces,"When line-wrapping, each line after the first (each continuation line ) is indented at least +4 from the original line, unless it falls under the rules of block indentation.
 When there are multiple continuation lines, indentation may be varied beyond +4 as appropriate. In general, continuation lines at a deeper syntactic level are indented by larger multiples of 4, and two lines use the same indentation level if and only if they begin with syntactically parallel elements.
 ?? addresses the discouraged practice of using a variable number of spaces to align certain tokens with previous lines.","{'indent': ['error', 2, {'VariableDeclarator': 2, 'MemberExpression': 2, 'FunctionDeclaration': {'body': 1, 'parameters': 2}, 'FunctionExpression': {'body': 1, 'parameters': 2}, 'CallExpression': {'arguments': 2}}]}",Yes,"{'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': True, 'ignoreComments': False}]}",valid config part
4.6 Whitespace,4.6 Whitespace,,Yes,"{'no-whitespace-before-property': 'error', 'no-irregular-whitespace': ['error', {'skipStrings': True, 'skipComments': False, 'skipRegExps': False, 'skipTemplates': False, 'skipJSXText': False}], 'no-trailing-spaces': ['error', {'skipBlankLines': False, 'ignoreComments': False}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'keyword-spacing': ['error', {'before': True, 'after': True, 'overrides': {}}], 'no-multi-spaces': ['error', {'ignoreEOLComments': False, 'exceptions': {'Property': True}}], 'semi-spacing': ['error', {'before': False, 'after': True}], 'indent': ['error', 4, {'SwitchCase': 0, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'space-unary-ops': ['error', {'words': True, 'nonwords': False, 'overrides': {}}], 'template-tag-spacing': ['error', 'never'], 'no-regex-spaces': 'error', 'no-multiple-empty-lines': ['error', {'max': 2, 'maxEOF': 0, 'maxBOF': 0}], 'space-before-blocks': ['error', 'always'], 'block-spacing': ['error', 'always'], 'space-infix-ops': ['error', {'int32Hint': False}], 'key-spacing': ['error', {'beforeColon': False, 'afterColon': True, 'mode': 'strict', 'align': {'beforeColon': False, 'afterColon': True, 'on': 'colon', 'mode': 'strict'}, 'singleLine': {'beforeColon': False, 'afterColon': True}, 'multiLine': {'beforeColon': False, 'afterColon': True, 'align': 'colon'}}], 'func-call-spacing': ['error', 'never'], 'spaced-comment': ['error', 'always', {'exceptions': [], 'markers': [], 'line': {'exceptions': [], 'markers': []}, 'block': {'exceptions': [], 'markers': [], 'balanced': False}}], 'dot-location': ['error', 'object']}",valid config part
4.6.1 Vertical whitespace,"A single blank line appears:
 Between consecutive methods in a class or object literal 
 Exception: A blank line between two consecutive properties definitions in an object literal (with no other code between them) is optional. Such blank lines are used as needed to create logical groupings of fields. 
 Within method bodies, sparingly to create logical groupings of statements. Blank lines at the start or end of a function body are not allowed. 
 Optionally before the first or after the last method in a class or object literal (neither encouraged nor discouraged). 
 As required by other sections of this document (e.g. ?? ).
 Multiple consecutive blank lines are permitted, but never required (nor encouraged).","{'padding-line-between-statements': ['error', {'blankLine': 'always', 'prev': 'function', 'next': 'function'}], 'lines-between-class-members': ['error', {'enforce': [{'blankLine': 'always', 'prev': 'method', 'next': 'method'}]}], 'padded-blocks': ['error', 'never']}",Yes,"{'no-multiple-empty-lines': ['error', {'max': 2}], 'lines-between-class-members': ['error', 'always', {'exceptAfterSingleLine': True}], 'padding-line-between-statements': ['error', {'blankLine': 'always', 'prev': '*', 'next': 'return'}, {'blankLine': 'always', 'prev': 'directive', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'directive'}]}",valid config part
4.6.2 Horizontal whitespace,"Use of horizontal whitespace depends on location, and falls into three broad categories: leading (at the start of a line), trailing (at the end of a line), and internal . Leading whitespace (i.e., indentation) is addressed elsewhere. Trailing whitespace is forbidden.
 Beyond where required by the language or other style rules, and apart from literals, comments, and JSDoc, a single internal ASCII space also appears in the following places only .
 Separating any reserved word (such as `if` , `for` , or `catch` ) except for `function` and `super` , from an open parenthesis ( `(` ) that follows it on that line. 
 Separating any reserved word (such as `else` or `catch` ) from a closing curly brace ( `}` ) that precedes it on that line. 
 Before any open curly brace ( `{` ), with two exceptions: 
 Before an object literal that is the first argument of a function or the first element in an array literal (e.g. `foo({a:[{c:d}]})` ). 
 In a template expansion, as it is forbidden by the language (e.g. valid: ``ab${1+2}cd`` , invalid: ``xy${3}z`` ). 
 On both sides of any binary or ternary operator. 
 After a comma ( `,` ) or semicolon ( `;` ). Note that spaces are never allowed before these characters. 
 After the colon ( `:` ) in an object literal. 
 On both sides of the double slash ( `//` ) that begins an end-of-line comment. Here, multiple spaces are allowed, but not required. 
 After an open-block comment character and on both sides of close characters (e.g. for short-form type declarations, casts, and parameter name comments: `this.foo=/**@type{number}*/(bar)` ; or `function(/**string*/foo){` ; or `baz(/*buzz=*/true)` ).","{'keyword-spacing': ['error', {'before': True, 'after': True}], 'space-before-function-paren': ['error', 'never'], 'space-in-parens': ['error', 'never'], 'space-before-blocks': ['error', 'always'], 'array-bracket-spacing': ['error', 'never'], 'space-infix-ops': 'error', 'comma-spacing': ['error', {'before': False, 'after': True}], 'key-spacing': ['error', {'afterColon': True}]}",Yes,"{'no-irregular-whitespace': ['error'], 'keyword-spacing': ['error', {'before': True, 'after': True, 'overrides': {'function': {'before': False}, 'super': {'before': False}}}], 'no-multi-spaces': ['error', {'ignoreEOLComments': True, 'exceptions': {'Property': True, 'BinaryExpression': False, 'VariableDeclarator': False, 'ImportDeclaration': False}}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'no-whitespace-before-property': ['error'], 'semi-spacing': ['error', {'before': False, 'after': True}], 'no-trailing-spaces': ['error', {'skipBlankLines': False, 'ignoreComments': False}], 'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'func-call-spacing': ['error', 'never'], 'comma-dangle': ['error', 'never'], 'space-unary-ops': ['error', {'words': True, 'nonwords': False, 'overrides': {}}], 'template-tag-spacing': ['error', 'never'], 'space-before-blocks': ['error', 'always'], 'spaced-comment': ['error', 'always', {'exceptions': [], 'markers': [], 'line': {'exceptions': [], 'markers': []}, 'block': {'exceptions': [], 'markers': [], 'balanced': False}}], 'key-spacing': ['error', {'beforeColon': False, 'afterColon': True, 'mode': 'strict', 'align': {'beforeColon': False, 'afterColon': True, 'on': 'colon', 'mode': 'strict'}, 'singleLine': {'beforeColon': False, 'afterColon': True}, 'multiLine': {'beforeColon': False, 'afterColon': True, 'align': 'colon'}}], 'space-before-function-paren': ['error', {'anonymous': 'always', 'named': 'never', 'asyncArrow': 'always'}], 'lines-around-directive': ['error', 'always'], 'block-spacing': ['error', 'always'], 'operator-linebreak': ['error', 'after', {'overrides': {'?': 'before', ':': 'before'}}]}",exist config in str
4.6.3 Horizontal alignment: discouraged,"Terminology Note : Horizontal alignment is the practice of adding a variable number of additional spaces in your code with the goal of making certain tokens appear directly below certain other tokens on previous lines.
 This practice is permitted, but it is generally discouraged by Google Style. It is not even required to maintain horizontal alignment in places where it was already used.
 Here is an example without alignment, followed by one with alignment. Both are allowed, but the latter is discouraged:
 {
  tiny: 42, // this is great
  longer: 435, // this too
 };
 
 {
  tiny: 42, // permitted, but future edits
  longer: 435, // may leave it unaligned
 };
 
 Tip: Alignment can aid readability, but it creates problems for future maintenance. Consider a future change that needs to touch just one line. This change may leave the formerly-pleasing formatting mangled, and that is allowed. More often it prompts the coder (perhaps you) to adjust whitespace on nearby lines as well, possibly triggering a cascading series of reformattings. That one-line change now has a blast radius. This can at worst result in pointless busywork, but at best it still corrupts version history information, slows down reviewers and exacerbates merge conflicts.",,Yes,"{'key-spacing': [{'beforeColon': False, 'afterColon': True, 'align': {'on': 'colon', 'mode': 'strict'}}], 'no-multi-spaces': [{'exceptions': {'Property': False}}]}",exist config in str
4.6.4 Function arguments,"Prefer to put all function arguments on the same line as the function name. If doing so would exceed the 80-column limit, the arguments must be line-wrapped in a readable way. To save space, you may wrap as close to 80 as possible, or put each argument on its own line to enhance readability. Indentation should be four spaces. Aligning to the parenthesis is allowed, but discouraged. Below are the most common patterns for argument wrapping:
 // Arguments start on a new line, indented four spaces. Preferred when the
 // arguments don't fit on the same line with the function name (or the keyword
 // ""function"") but fit entirely on the second line. Works with very long
 // function names, survives renaming without reindenting, low on space.
 doSomething(
  descriptiveArgumentOne, descriptiveArgumentTwo, descriptiveArgumentThree) {
  // …
 }
 
 // If the argument list is longer, wrap at 80. Uses less vertical space,
 // but violates the rectangle rule and is thus not recommended.
 doSomething(veryDescriptiveArgumentNumberOne, veryDescriptiveArgumentTwo,
  tableModelEventHandlerProxy, artichokeDescriptorAdapterIterator) {
  // …
 }
 
 // Four-space, one argument per line. Works with long function names,
 // survives renaming, and emphasizes each argument.
 doSomething(
  veryDescriptiveArgumentNumberOne,
  veryDescriptiveArgumentTwo,
  tableModelEventHandlerProxy,
  artichokeDescriptorAdapterIterator) {
  // …
 }","{'max-len': ['error', {'code': 80}], 'indent': ['error', 2, {'FunctionDeclaration': {'parameters': 2}}]}",Yes,"{'indent': ['error', 4, {'FunctionDeclaration': {'parameters': 'first', 'body': 1}, 'FunctionExpression': {'parameters': 'first', 'body': 1}, 'CallExpression': {'arguments': 'first'}}], 'function-paren-newline': ['error', 'multiline'], 'func-call-spacing': ['error', 'never'], 'function-call-argument-newline': ['error', 'consistent']}",valid config part
4.7 Grouping parentheses: recommended,"Optional grouping parentheses are omitted only when the author and reviewer agree that there is no reasonable chance that the code will be misinterpreted without them, nor would they have made the code easier to read. It is not reasonable to assume that every reader has the entire operator precedence table memorized.
 Do not use unnecessary parentheses around the entire expression following `delete` , `typeof` , `void` , `return` , `throw` , `case` , `in` , `of` , or `yield` .
 Parentheses are required for type casts: `/**@type{!Foo}*/(foo)` .","{'no-extra-parens': ['error', 'all', {'allowParensAfterCommentPattern': '@type'}]}",Yes,"{'arrow-parens': ['always'], 'no-extra-parens': ['error', {'nestedBinaryExpressions': False, 'returnAssign': False, 'conditionalAssign': False, 'enforceForArrowConditionals': False, 'enforceForSequenceExpressions': False, 'enforceForNewInMemberExpressions': False, 'enforceForFunctionPrototypeMethods': False, 'allowParensAfterCommentPattern': '', 'ignoreJSX': 'none'}], 'no-mixed-operators': ['error', {'groups': [['+', '-', '*', '/', '%', '**'], ['&', '|', '^', '~', '<<', '>>', '>>>'], ['==', '!=', '===', '!==', '>', '>=', '<', '<='], ['&&', '||'], ['in', 'instanceof']], 'allowSamePrecedence': True}], 'new-parens': ['always'], 'space-in-parens': ['never'], 'wrap-iife': ['outside', {'functionPrototypeMethods': False}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'no-sequences': ['error', {'allowInParentheses': True}], 'func-call-spacing': ['never'], 'no-confusing-arrow': ['error', {'allowParens': True, 'onlyOneSimpleParam': False}], 'space-before-function-paren': ['error', {'anonymous': 'always', 'named': 'never', 'asyncArrow': 'always'}], 'no-unsafe-optional-chaining': ['error', {'disallowArithmeticOperators': False}], 'no-void': ['error', {'allowAsStatement': False}], 'operator-assignment': ['always'], 'no-plusplus': ['error', {'allowForLoopAfterthoughts': False}], 'no-return-assign': ['error', 'except-parens'], 'no-unneeded-ternary': ['error', {'defaultAssignment': True}], 'no-inner-declarations': ['error', 'functions'], 'space-infix-ops': ['error', {'int32Hint': False}]}",valid config part
4.8 Comments,This section addresses implementation comments . JSDoc is addressed separately in ?? .,,Yes,"{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}], 'valid-jsdoc': ['error', {'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': '', 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}]}",valid config part
4.8.1 Block comment style,"Block comments are indented at the same level as the surrounding code. They may be in `/*…*/` or `//` -style. For multi-line `/*…*/` comments, subsequent lines must start with * aligned with the `*` on the previous line, to make comments obvious with no extra context.
 /*
  * This is
  * okay.
  */
 
 // And so
 // is this.
 
 /* This is fine, too. */
 
 Comments are not enclosed in boxes drawn with asterisks or other characters.
 Do not use JSDoc ( `/**…*/` ) for implementation comments.","{'indent': ['error', 2, {'ignoreComments': True}], 'multiline-comment-style': ['error', 'starred-block']}",Yes,"{'lines-around-comment': ['error', {'beforeBlockComment': True, 'beforeLineComment': True}], 'no-inline-comments': 'error', 'multiline-comment-style': ['error', 'starred-block'], 'spaced-comment': ['error', 'always', {'block': {'balanced': True}}]}",valid config part
4.8.2 Parameter Name Comments,"“Parameter name” comments should be used whenever the value and method name do not sufficiently convey the meaning, and refactoring the method to be clearer is infeasible . Their preferred format is before the value with = :
 someFunction(obviousParam, /* shouldRender= */ true, /* name= */ 'hello');
 
 For consistency with surrounding code you may put them after the value without = :
 someFunction(obviousParam, true /* shouldRender */, 'hello' /* name */);",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",y_or_n is not Yes
5 Language features,"JavaScript includes many dubious (and even dangerous) features. This section delineates which features may or may not be used, and any additional constraints on their use.",,Yes,"{'no-script-url': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'no-implied-eval': 'error', 'no-eval': ['error', {'allowIndirect': False}], 'no-restricted-syntax': ['error', {'selector': 'WithStatement', 'message': 'With statements are not allowed.'}]}",valid config part
5.1 Local variable declarations,5.1 Local variable declarations,,Yes,"{'vars-on-top': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-var': 'error', 'one-var': ['error', 'never'], 'no-inner-declarations': ['error', 'both'], 'no-delete-var': 'error', 'no-redeclare': ['error', {'builtinGlobals': True}], 'block-scoped-var': 'error', 'no-shadow': ['error', {'builtinGlobals': True, 'hoist': 'all', 'allow': [], 'ignoreOnInitialization': False}], 'no-use-before-define': ['error', {'functions': False, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'init-declarations': ['error', 'always'], 'one-var-declaration-per-line': ['error', 'always'], 'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}], 'no-class-assign': 'error', 'no-undef': ['error', {'typeof': True}], 'no-case-declarations': 'error', 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True}], 'no-global-assign': ['error', {'exceptions': []}], 'no-label-var': 'error'}",valid config part
5.1.1 Use const and let,"Declare all local variables with either `const` or `let` . Use const by default, unless a variable needs to be reassigned. The `var` keyword must not be used.",{'no-var': 'error'},Yes,"{'no-var': 'error', 'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}]}",valid config part
5.1.2 One variable per declaration,"Every local variable declaration declares only one variable: declarations such as `leta=1,b=2;` are not used.","{'one-var': ['error', 'always']}",Yes,"{'one-var': ['never'], 'no-multi-assign': 'error', 'one-var-declaration-per-line': ['always']}",valid config part
"5.1.3 Declared when needed, initialized as soon as possible","Local variables are not habitually declared at the start of their containing block or block-like construct. Instead, local variables are declared close to the point they are first used (within reason), to minimize their scope.",,Yes,"{'one-var': ['never'], 'vars-on-top': 'off', 'init-declarations': ['always'], 'block-scoped-var': 'error', 'no-use-before-define': ['error', {'functions': False, 'classes': True, 'variables': True}], 'no-var': 'error', 'no-inner-declarations': ['both'], 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'one-var-declaration-per-line': ['always'], 'no-undef-init': 'error', 'no-redeclare': ['error', {'builtinGlobals': True}], 'no-shadow': ['error', {'builtinGlobals': True, 'hoist': 'all', 'allow': [], 'ignoreOnInitialization': False}], 'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}], 'no-case-declarations': 'error', 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True}], 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'no-lone-blocks': 'error', 'no-undef': ['error', {'typeof': True}], 'sort-vars': ['error', {'ignoreCase': False}], 'no-undefined': 'error'}",exist config in str
5.1.4 Declare types as needed,"JSDoc type annotations may be added either on the line above the declaration, or else inline before the variable name if no other JSDoc is present.
 Example:
 const /** !Array<number> */ data = [];
 
 /**
  * Some description.
  * @type {!Array<number>}
  */
 const data = [];
 
 Mixing inline and JSDoc styles is not allowed: the compiler will only process the first JsDoc and the inline annotations will be lost.
 /** Some description. */
 const /** !Array<number> */ data = [];
 
 Tip: There are many cases where the compiler can infer a templatized type but not its parameters. This is particularly the case when the initializing literal or constructor call does not include any values of the template parameter type (e.g., empty arrays, objects, `Map` s, or `Set` s), or if the variable is modified in a closure. Local variable type annotations are particularly helpful in these cases since otherwise the compiler will infer the template parameter as unknown.",,Yes,"{'valid-jsdoc': ['error', {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': True, 'requireReturnDescription': True, 'requireParamType': True}], 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': True, 'FunctionExpression': True}}]}",valid config part
5.2 Array literals,5.2 Array literals,,Yes,"{'no-array-constructor': 'error', 'no-sparse-arrays': 'error', 'array-element-newline': ['error', 'always'], 'array-bracket-spacing': ['error', 'never']}",valid config part
5.2.1 Use trailing commas,"Include a trailing comma whenever there is a line break between the final element and the closing bracket.
 Example:
 const values = [
  'first value',
  'second value',
 ];","{'comma-dangle': ['error', 'always']}",Yes,"{'comma-dangle': ['error', 'always-multiline']}",valid config part
5.2.2 Do not use the variadic Array constructor,"The constructor is error-prone if arguments are added or removed. Use a literal instead.
 Disallowed:
 const a1 = new Array(x1, x2, x3);
 const a2 = new Array(x1, x2);
 const a3 = new Array(x1);
 const a4 = new Array();
 
 This works as expected except for the third case: if `x1` is a whole number then `a3` is an array of size `x1` where all elements are `undefined` . If `x1` is any other number, then an exception will be thrown, and if it is anything else then it will be a single-element array.
 Instead, write
 const a1 = [x1, x2, x3];
 const a2 = [x1, x2];
 const a3 = [x1];
 const a4 = [];
 
 Explicitly allocating an array of a given length using `newArray(length)` is allowed when appropriate.",{'no-array-constructor': 'error'},Yes,{'no-array-constructor': 'error'},valid config part
5.2.3 Non-numeric properties,Do not define or use non-numeric properties on an array (other than `length` ). Use a `Map` (or `Object` ) instead.,,Yes,"{'no-magic-numbers': [{'ignoreArrayIndexes': True}], 'no-prototype-builtins': 'error', 'no-array-constructor': 'error'}",exist config in str
