rule_name,description,benchmark,gpt_answer,gpt_configuration
4.6.2 Horizontal whitespace,"Beyond where required by the language or other style rules, and apart from literals, comments and Javadoc, a single ASCII space also appears in the following places only .
Separating any reserved word, such as `if` , `for` or `catch` , from an open parenthesis ( `(` ) that follows it on that line 
Separating any reserved word, such as `else` or `catch` , from a closing curly brace ( `}` ) that precedes it on that line 
Before any open curly brace ( `{` ), with two exceptions: 
`@SomeAnnotation({a,b})` (no space is used) 
`String[][]x={{""foo""}};` (no space is required between `{{` , by item 9 below) 
On both sides of any binary or ternary operator. This also applies to the following ""operator-like"" symbols: 
the ampersand in a conjunctive type bound: `<TextendsFoo&Bar>` 
the pipe for a catch block that handles multiple exceptions: `catch(FooException|BarExceptione)` 
the colon ( `:` ) in an enhanced `for` (""foreach"") statement 
the arrow in a lambda expression: `(Stringstr)->str.length()` 
but not 
the two colons ( `::` ) of a method reference, which is written like `Object::toString` 
the dot separator ( `.` ), which is written like `object.toString()` 
After `,:;` or the closing parenthesis ( `)` ) of a cast 
Between any content and a double slash ( `//` ) which begins a comment. Multiple spaces are allowed. 
Between a double slash ( `//` ) which begins a comment and the comment's text. Multiple spaces are allowed. 
Between the type and variable of a declaration: `List<String>list` 
Optional just inside both braces of an array initializer 
`newint[]{5,6}` and `newint[]{5,6}` are both valid 
Between a type annotation and `[]` or `...` .
This rule is never interpreted as requiring or forbidding additional space at the start or end of a line; it addresses only interior space.","[{'modulename': 'WhitespaceAround', 'tokens': 'ASSIGN, BAND, BAND_ASSIGN, BOR, BOR_ASSIGN, BSR, BSR_ASSIGN, BXOR, BXOR_ASSIGN, COLON, DIV, DIV_ASSIGN, EQUAL, GE, GT, LAND, LE, LOR, LT, MINUS, MINUS_ASSIGN, MOD, MOD_ASSIGN, NOT_EQUAL, PLUS, PLUS_ASSIGN, QUESTION, SL, SL_ASSIGN, SR, SR_ASSIGN, STAR, STAR_ASSIGN”/>'}, {'modulename': 'WhitespaceAfter'}]",Yes,"<module name='WhitespaceAround'>\n    <property name='tokens' value='ASSIGN, BAND, BAND_ASSIGN, BOR, BOR_ASSIGN, BSR, BSR_ASSIGN, BXOR, BXOR_ASSIGN, COLON, DIV, DIV_ASSIGN, EQUAL, GE, GT, LAND, LITERAL_INSTANCEOF, LOR, LT, LE, MINUS, MINUS_ASSIGN, MOD, MOD_ASSIGN, NOT_EQUAL, PLUS, PLUS_ASSIGN, QUESTION, SL, SL_ASSIGN, SR, SR_ASSIGN, STAR, STAR_ASSIGN, TYPE_EXTENSION_AND, LAMBDA, METHOD_REF' />\n</module>\n
<module name='WhitespaceAfter'>\n    <property name='tokens' value='COMMA, SEMI, TYPECAST' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH, LITERAL_FOR, LITERAL_IF, LITERAL_WHILE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ELSE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='ARRAY_INIT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='ANNOTATION_ARRAY_INIT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='ANNOTATION' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_NEW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CONTINUE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DEFAULT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CASE' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_CATCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_FINALLY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_TRY' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_DO' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SWITCH' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_SYNCHRONIZED' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_RETURN' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_THROW' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_ASSERT' />\n</module>\n
<module name='WhitespaceAround'>\n    <property name='tokens' value='LITERAL_BREAK' />\n</module>\n
<module name='WhitespaceAround'>"
4.6.3 Horizontal alignment: never required,"Terminology Note: 
Horizontal alignment is the practice of adding a variable number of additional spaces in your code with the goal of making certain tokens appear directly below certain other tokens on previous lines.
This practice is permitted, but is never required by Google Style. It is not even required to maintain horizontal alignment in places where it was already used.
Here is an example without alignment, then using alignment:
private int x; // this is fine
private Color color; // this too

private int   x;      // permitted, but future edits
private Color color;  // may leave it unaligned

Tip: Alignment can aid readability, but it creates problems for future maintenance. Consider a future change that needs to touch just one line. This change may leave the formerly-pleasing formatting mangled, and that is allowed . More often it prompts the coder (perhaps you) to adjust whitespace on nearby lines as well, possibly triggering a cascading series of reformattings. That one-line change now has a ""blast radius."" This can at worst result in pointless busywork, but at best it still corrupts version history information, slows down reviewers and exacerbates merge conflicts.",[{'modulename': 'SingleSpaceSeparator'}],No
4.7 Grouping parentheses: recommended,"Optional grouping parentheses are omitted only when author and reviewer agree that there is no reasonable chance the code will be misinterpreted without them, nor would they have made the code easier to read. It is not reasonable to assume that every reader has the entire Java operator precedence table memorized.

",,Yes,"<module name='UnnecessaryParentheses'>
        <property name='id' value='UnnecessaryParentheses'/>
        <property name='ignoreClarifyingParentheses' value='true'/>
    </module>"
4.8.1 Enum classes,"After each comma that follows an enum constant, a line break is optional. Additional blank lines (usually just one) are also allowed. This is one possibility:
private enum Answer {
  YES {
    @Override public String toString() {
      return ""yes"";
    }
  },

  NO,
  MAYBE
}

An enum class with no methods and no documentation on its constants may optionally be formatted as if it were an array initializer (see Section 4.8.3.1 on array initializers ).
private enum Suit { CLUBS, HEARTS, SPADES, DIAMONDS }

Since enum classes are classes , all other rules for formatting classes apply.",,Yes,"<module name='NoEnumTrailingComma'>\n</module>\n
<module name='UnnecessarySemicolonInEnumeration'>\n</module>"
4.8.4 Switch statements,"Terminology Note: Inside the braces of a switch block are one or more statement groups . Each statement group consists of one or more switch labels (either `caseFOO:` or `default:` ), followed by one or more statements (or, for the last statement group, zero or more statements).

",,Yes,"<module name='Indentation'>\n    <property name='caseIndent' value='4'/>\n    <property name='basicOffset' value='4'/>\n    <property name='braceAdjustment' value='0'/>\n    <property name='lineWrappingIndentation' value='8'/>\n</module>\n
<module name='NoWhitespaceBeforeCaseDefaultColon'/>\n
<module name='FallThrough'>\n    <property name='commentFormat' value='(fall through|falls? through|no break|continue|intentional|no-op)'/>\n</module>\n
<module name='DefaultComesLast'/>\n
<module name='MissingSwitchDefault'/>"
4.8.6 Comments,"This section addresses implementation comments . Javadoc is addressed separately in Section 7, Javadoc .
Any line break may be preceded by arbitrary whitespace followed by an implementation comment. Such a comment renders the line non-blank.",,Yes,"<module name='CommentsIndentation'>\n    <property name='id' value='CommentsIndentation'/>\n</module>\n
<module name='TrailingComment'>\n    <property name='id' value='TrailingComment'/>\n</module>"
4.8.6.1 Block comment style,"lock comments are indented at the same level as the surrounding code. They may be in /* ... */ style or // ... style. For multi-line /* ... */ comments, subsequent lines must start with * aligned with the * on the previous line.

/*
 * This is          // And so           /* Or you can
 * okay.            // is this.          * even do this. */
 */
Comments are not enclosed in boxes drawn with asterisks or other characters.

Tip: When writing multi-line comments, use the /* ... */ style if you want automatic code formatters to re-wrap the lines when necessary (paragraph-style). Most formatters don't re-wrap lines in // ... style comment blocks.","[{'modulename': 'CommentsIndentation', 'tokens': 'SINGLE_LINE_COMMENT, BLOCK_COMMENT_BEGIN'}]",Yes,"<module name='CommentsIndentation'>
        <property name='id' value='CommentsIndentation'/>
    </module>
    
<module name='JavadocStyle'>
        <property name='id' value='JavadocStyle'/>
    </module>
    
<module name='JavadocMissingLeadingAsterisk'>
        <property name='id' value='JavadocMissingLeadingAsterisk'/>
    </module>"
4.8.7 Modifiers,"Class and member modifiers, when present, appear in the order recommended by the Java Language Specification:
public protected private abstract default static final transient volatile synchronized native strictfp

",[{'modulename': 'ModifierOrder'}],Yes,"<module name='ModifierOrder'>
    <property name='id' value='ModifierOrder'/>
    <property name='order' value='public protected private abstract default static final transient volatile synchronized native strictfp'/>
</module>"
4.8.8 Numeric Literals,"`long` -valued integer literals use an uppercase `L` suffix, never lowercase (to avoid confusion with the digit `1` ). For example, `3000000000L` rather than `3000000000l` .",[{'modulename': 'UpperEll'}],Yes,"<module name='UpperEll'>
        <property name='severity' value='error'/>
    </module>"
5.1 Rules common to all identifiers,"Identifiers use only ASCII letters and digits, and, in a small number of cases noted below, underscores. Thus each valid identifier name is matched by the regular expression `\w+` .
In Google Style, special prefixes or suffixes are not used. For example, these names are not Google Style: `name_` , `mName` , `s_name` and `kName` .

","[{'modulename': 'IllegalIdentifierName', 'format': 'OurSetDefault'}]",Yes,"<module name='RegexpSinglelineJava'>
        <property name='id' value='identifierNaming'/>
        <property name='format' value='\\w+'/>
        <property name='message' value='Identifiers must use only ASCII letters, digits, and underscores.'/>
    </module>
    
<module name='IllegalIdentifierName'>
        <property name='id' value='illegalIdentifierNaming'/>
        <property name='format' value='^(name_|mName|s_name|kName)$'/>
        <property name='message' value='Special prefixes or suffixes are not allowed in identifier names.'/>
    </module>"
5.2.1 Package names,"Package names use only lowercase letters and digits (no underscores). Consecutive words are simply concatenated together. For example, `com.example.deepspace` , not `com.example.deepSpace` or `com.example.deep_space` .

","[{'modulename': 'PackageName', 'format': '^[a-z]+(\\.[a-z][a-z0-9]*)*$'}]",Yes,"<module name='PackageName'>
    <property name='format' value='^[a-z]+(\.[a-z][a-z0-9]*)*$'/>
</module>"
5.2.2 Class names,"Class names are written in UpperCamelCase .
Class names are typically nouns or noun phrases. For example, `Character` or `ImmutableList` . Interface names may also be nouns or noun phrases (for example, `List` ), but may sometimes be adjectives or adjective phrases instead (for example, `Readable` ).
There are no specific rules or even well-established conventions for naming annotation types.
A test class has a name that ends with `Test` , for example, `HashIntegrationTest` . If it covers a single class, its name is the name of that class plus `Test` , for example `HashImplTest` .

","[{'modulename': 'TypeName', 'format': '^[A-Z][a-zA-Z0-9]*$'}]",Yes,"<module name='TypeName'>
        <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='MethodName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='ClassTypeParameterName'>
        <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='InterfaceTypeParameterName'>
        <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='RecordTypeParameterName'>
        <property name='format' value='^[A-Z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='AbstractClassName'>
        <property name='format' value='^Abstract[A-Z][a-zA-Z0-9]*$'/>
    </module>"
5.2.3 Method names,"Method names are written in lowerCamelCase .
Method names are typically verbs or verb phrases. For example, `sendMessage` or `stop` .
Underscores may appear in JUnit test method names to separate logical components of the name, with each component written in lowerCamelCase , for example `transferMoney_deductsFromSource` . There is no One Correct Way to name test methods.

","[{'modulename': 'MethodName', 'format': '^[a-z][a-zA-Z0-9]*$'}]",Yes,"<module name='MethodName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*(_[a-z][a-zA-Z0-9]*)*$'/>
        <property name='allowUnderscoreInName' value='true'/>
    </module>"
5.2.4 Constant names,"Constant names use `UPPER_SNAKE_CASE` : all uppercase letters, with each word separated from the next by a single underscore. But what is a constant, exactly?
Constants are static final fields whose contents are deeply immutable and whose methods have no detectable side effects. Examples include primitives, strings, immutable value classes, and anything set to `null` . If any of the instance's observable state can change, it is not a constant. Merely intending to never mutate the object is not enough. Examples:
// Constants
static final int NUMBER = 5;
static final ImmutableList<String> NAMES = ImmutableList.of(""Ed"", ""Ann"");
static final Map<String, Integer> AGES = ImmutableMap.of(""Ed"", 35, ""Ann"", 32);
static final Joiner COMMA_JOINER = Joiner.on(','); // because Joiner is immutable
static final SomeMutableType[] EMPTY_ARRAY = {};

// Not constants
static String nonFinal = ""non-final"";
final String nonStatic = ""non-static"";
static final Set<String> mutableCollection = new HashSet<String>();
static final ImmutableSet<SomeMutableType> mutableElements = ImmutableSet.of(mutable);
static final ImmutableMap<String, SomeMutableType> mutableValues =
    ImmutableMap.of(""Ed"", mutableInstance, ""Ann"", mutableInstance2);
static final Logger logger = Logger.getLogger(MyClass.getName());
static final String[] nonEmptyArray = {""these"", ""can"", ""change""};

These names are typically nouns or noun phrases.","[{'modulename': 'ConstantName', 'format': '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'}]",Yes,"<module name='ConstantName'>
    <property name='format' value='^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'/>
</module>"
5.2.5 Non-constant field names,"Non-constant field names (static or otherwise) are written in lowerCamelCase .
These names are typically nouns or noun phrases. For example, `computedValues` or `index` .

","[{'modulename': 'MemberName', 'format': '^[a-z][a-zA-Z0-9]*$'}]",Yes,"<module name='MemberName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>"
5.2.6 Parameter names,"Parameter names are written in lowerCamelCase .
One-character parameter names in public methods should be avoided.

","[{'modulename': 'ParameterName', 'format': '^[a-z][a-zA-Z0-9]*$'}]",Yes,"<module name='ParameterName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
        <property name='tokens' value='PARAMETER_DEF'/>
    </module>
    
<module name='CatchParameterName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>
    
<module name='LocalVariableName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>"
5.2.7 Local variable names,"Local variable names are written in lowerCamelCase .
Even when final and immutable, local variables are not considered to be constants, and should not be styled as constants.

","[{'modulename': 'LocalVariableName', 'format': '^[a-z][a-zA-Z0-9]*$'}]",Yes,"<module name='LocalVariableName'>
        <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
    </module>"
5.2.8 Type variable names,"Each type variable is named in one of two styles:
A single capital letter, optionally followed by a single numeral (such as `E` , `T` , `X` , `T2` ) 
A name in the form used for classes (see Section 5.2.2, Class names ), followed by the capital letter `T` (examples: `RequestT` , `FooBarT` ).","[{'modulename': 'ClassTypeParameterName', 'format': 'OurSetDefault'}, {'modulename': 'RecordTypeParameterName', 'format': 'OurSetDefault'}, {'modulename': 'MethodTypeParameterName', 'format': 'OurSetDefault'}, {'modulename': 'InterfaceTypeParameterName', 'format': 'OurSetDefault'}]",Yes,"<module name='TypeName'>\n    <property name='format' value='^[A-Z][a-zA-Z0-9]*T?$'/>\n</module>\n
<module name='ClassTypeParameterName'>\n    <property name='format' value='^[A-Z][a-zA-Z0-9]*T?$'/>\n</module>\n
<module name='InterfaceTypeParameterName'>\n    <property name='format' value='^[A-Z][a-zA-Z0-9]*T?$'/>\n</module>\n
<module name='MethodTypeParameterName'>\n    <property name='format' value='^[A-Z][a-zA-Z0-9]*T?$'/>\n</module>\n
<module name='RecordTypeParameterName'>\n    <property name='format' value='^[A-Z][a-zA-Z0-9]*T?$'/>\n</module>"
