rule_name,description,benchmark,benchmark_default,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
4.2.4 Function expressions,"When declaring an anonymous function in the list of arguments for a function call, the body of the function is indented two spaces more than the preceding indentation depth.
 Example:
 prefix.something.reallyLongFunctionName('whatever', (a1, a2) => {
  // Indent the function body +2 relative to indentation depth
  // of the 'prefix' statement one line above.
  if (a1.equals(a2)) {
  someOtherLongFunctionName(a1);
  } else {
  andNowForSomethingCompletelyDifferent(a2.parrot);
  }
 });
 
 some.reallyLongFunctionCall(arg1, arg2, arg3)
  .thatsWrapped()
  .then((result) => {
  // Indent the function body +2 relative to the indentation depth
  // of the '.then()' call.
  if (result) {
  result.use();
  }
  });","indent: ['error', 2, {'FunctionExpression': {'body': 1, 'parameters': 'OurSetDefault'}}]","indent: ['error', 2, {'FunctionExpression': {'body': 1, 'parameters': 'OurSetDefault'}}]",Yes,"indent: ['error', 2, {'FunctionExpression': {'parameters': 'first', 'body': 1}, 'CallExpression': {'arguments': 'first'}}]",true,indent,,,,indent,indent,,indent,indent
4.2.5 Switch statements,"As with any other block, the contents of a switch block are indented +2.
 After a switch label, a newline appears, and the indentation level is increased +2, exactly as if a block were being opened. An explicit block may be used if required by lexical scoping. The following switch label returns to the previous indentation level, as if a block had been closed.
 A blank line is optional between a `break` and the following case.
 Example:
 switch (animal) {
  case Animal.BANDERSNATCH:
  handleBandersnatch();
  break;
 
  case Animal.JABBERWOCK:
  handleJabberwock();
  break;
 
  default:
  throw new Error('Unknown animal');
 }","indent: ['error', 2, {'SwitchCase': 1}]","indent: ['error', 2, {'SwitchCase': 1}]",Yes,"indent: ['error', 2, {'SwitchCase': 1}]
brace-style: ['error', '1tbs', {'allowSingleLine': True}]
newline-after-var: ['error', 'always']
newline-before-return: error
newline-per-chained-call: ['error', {'ignoreChainWithDepth': 2}]
no-multiple-empty-lines: ['error', {'max': 1, 'maxEOF': 0, 'maxBOF': 0}]
padded-blocks: ['error', 'never']
padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': 'break', 'next': 'case'}]
switch-colon-spacing: ['error', {'after': True, 'before': False}]",true,indent,"brace-style
newline-after-var
newline-before-return
newline-per-chained-call
no-multiple-empty-lines
padded-blocks
padding-line-between-statements
switch-colon-spacing",,indent,"brace-style
newline-after-var
newline-before-return
newline-per-chained-call
no-multiple-empty-lines
padded-blocks
padding-line-between-statements
switch-colon-spacing",,indent,"brace-style
newline-after-var
newline-before-return
newline-per-chained-call
no-multiple-empty-lines
padded-blocks
padding-line-between-statements
switch-colon-spacing",
4.3.1 One statement per line,Each statement is followed by a line-break.,"max-statements-per-line: ['error', {'max': 1}]","max-statements-per-line: ['error', {'max': 1}]",Yes,"max-statements-per-line: ['error', {'max': 1}]
semi: ['error', 'always']
padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': '*', 'next': 'return'}, {'blankLine': 'always', 'prev': '*', 'next': 'block'}, {'blankLine': 'always', 'prev': '*', 'next': 'block-like'}, {'blankLine': 'always', 'prev': '*', 'next': 'cjs-export'}, {'blankLine': 'always', 'prev': '*', 'next': 'class'}, {'blankLine': 'always', 'prev': '*', 'next': 'directive'}, {'blankLine': 'always', 'prev': '*', 'next': 'export'}, {'blankLine': 'always', 'prev': '*', 'next': 'function'}, {'blankLine': 'always', 'prev': '*', 'next': 'if'}, {'blankLine': 'always', 'prev': '*', 'next': 'import'}, {'blankLine': 'always', 'prev': '*', 'next': 'switch'}, {'blankLine': 'always', 'prev': '*', 'next': 'try'}]",true,max-statements-per-line,"semi
padding-line-between-statements",,max-statements-per-line,"semi
padding-line-between-statements",,max-statements-per-line,"semi
padding-line-between-statements",
4.3.2 Semicolons are required,Every statement must be terminated with a semicolon. Relying on automatic semicolon insertion is forbidden.,"semi: ['error', 'always']","semi: ['error', 'always']",Yes,"semi: ['error', 'always']
no-extra-semi: error",true,semi,no-extra-semi,,semi,no-extra-semi,,semi,no-extra-semi,
4.4 Column limit: 80,"JavaScript code has a column limit of 80 characters. Except as noted below, any line that would exceed this limit must be line-wrapped, as explained in ?? .
 Exceptions:
 `goog.module` , `goog.require` and `goog.requireType` statements (see ?? and ?? ). 
 ES module `import` and `exportfrom` statements (see ?? and ?? ). 
 Lines where obeying the column limit is not possible or would hinder discoverability. Examples include: 
 A long URL which should be clickable in source. 
 A shell command intended to be copied-and-pasted. 
 A long string literal which may need to be copied or searched for wholly (e.g., a long file path).","max-len: ['error', {'ignoreUrls': True, 'ignoreStrings': True, 'ignorePattern': 'OurSetDefault'}]","max-len: ['error', {'code': 80, 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': True, 'ignoreStrings': True, 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",Yes,"max-len: ['error', {'code': 80, 'ignoreUrls': True, 'ignoreStrings': True, 'ignoreTemplateLiterals': True, 'ignoreRegExpLiterals': True, 'ignorePattern': '^goog\\.(module|require|requireType)|^import\\s.+\\sfrom\\s.+$'}]",true,max-len,,,max-len,,,max-len,,
4.5.1 Where to break,"The prime directive of line-wrapping is: prefer to break at a higher syntactic level .
 Preferred:
 currentEstimate =
  calc(currentEstimate + x * currentEstimate) /
  2.0;
 
 Discouraged:
 currentEstimate = calc(currentEstimate + x *
  currentEstimate) / 2.0;
 
 In the preceding example, the syntactic levels from highest to lowest are as follows: assignment, division, function call, parameters, number constant.
 Operators are wrapped as follows:
 When a line is broken at an operator the break comes after the symbol. (Note that this is not the same practice used in Google style for Java.) 
 This does not apply to the dot ( `.` ), which is not actually an operator. 
 A method or constructor name stays attached to the open parenthesis ( `(` ) that follows it. 
 A comma ( `,` ) stays attached to the token that precedes it.
 Note: The primary goal for line wrapping is to have clear code, not necessarily code that fits in the smallest number of lines.","operator-linebreak: ['error', 'after']
space-before-function-paren: ['error', 'never']
comma-style: ['error', 'last']
comma-spacing: ['error', {'before': False}]","operator-linebreak: ['error', 'after', {'overrides': 'OurSetDefault'}]
space-before-function-paren: ['error', {'anonymous': 'never', 'named': 'never', 'asyncArrow': 'never'}]
comma-style: ['error', 'last', {'exceptions': 'OurSetDefault'}]
comma-spacing: ['error', {'before': False, 'after': 'OurSetDefault'}]",Yes,"operator-linebreak: ['after']
dot-location: ['property']
function-call-argument-newline: ['consistent']
comma-style: ['last']",true,"operator-linebreak
comma-style","dot-location
function-call-argument-newline","space-before-function-paren
comma-spacing","operator-linebreak
comma-style","dot-location
function-call-argument-newline","space-before-function-paren
comma-spacing","operator-linebreak
comma-style","dot-location
function-call-argument-newline","space-before-function-paren
comma-spacing"
4.5.2 Indent continuation lines at least +4 spaces,"When line-wrapping, each line after the first (each continuation line ) is indented at least +4 from the original line, unless it falls under the rules of block indentation.
 When there are multiple continuation lines, indentation may be varied beyond +4 as appropriate. In general, continuation lines at a deeper syntactic level are indented by larger multiples of 4, and two lines use the same indentation level if and only if they begin with syntactically parallel elements.
 ?? addresses the discouraged practice of using a variable number of spaces to align certain tokens with previous lines.","indent: ['error', 2, {'VariableDeclarator': 2, 'MemberExpression': 2, 'FunctionDeclaration': {'parameters': 2}, 'FunctionExpression': {'parameters': 2}, 'CallExpression': {'arguments': 2}}]","indent: ['error', 2, {'ignoredNodes': 'OurSetDefault', 'SwitchCase': 'OurSetDefault', 'VariableDeclarator': 2, 'outerIIFEBody': 'OurSetDefault', 'MemberExpression': 2, 'FunctionDeclaration': {'parameters': 2, 'body': 'OurSetDefault'}, 'FunctionExpression': {'parameters': 2, 'body': 'OurSetDefault'}, 'StaticBlock': {'body': 'OurSetDefault'}, 'CallExpression': {'arguments': 2}, 'ArrayExpression': 'OurSetDefault', 'ObjectExpression': 'OurSetDefault', 'ImportDeclaration': 'OurSetDefault', 'flatTernaryExpressions': 'OurSetDefault', 'offsetTernaryExpressions': 'OurSetDefault', 'ignoreComments': 'OurSetDefault'}]",Yes,"indent: ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'ignoreComments': False, 'ignoredNodes': ['TemplateLiteral *'], 'offsetTernaryExpressions': True}]
function-call-argument-newline: ['error', 'consistent']
function-paren-newline: ['error', 'consistent']
object-curly-newline: ['error', {'consistent': True}]
object-property-newline: ['error', {'allowAllPropertiesOnSameLine': True}]
array-element-newline: ['error', 'consistent']
array-bracket-newline: ['error', {'multiline': True, 'minItems': 3}]
array-bracket-spacing: ['error', 'never']
operator-linebreak: ['error', 'before']
comma-style: ['error', 'last']
comma-dangle: ['error', 'always-multiline']",true,indent,"function-call-argument-newline
function-paren-newline
object-curly-newline
object-property-newline
array-element-newline
array-bracket-newline
array-bracket-spacing
operator-linebreak
comma-style
comma-dangle",,,"indent
function-call-argument-newline
function-paren-newline
object-curly-newline
object-property-newline
array-element-newline
array-bracket-newline
array-bracket-spacing
operator-linebreak
comma-style
comma-dangle",indent,,"indent
function-call-argument-newline
function-paren-newline
object-curly-newline
object-property-newline
array-element-newline
array-bracket-newline
array-bracket-spacing
operator-linebreak
comma-style
comma-dangle",indent
4.6.1 Vertical whitespace,"A single blank line appears:
 Between consecutive methods in a class or object literal 
 Exception: A blank line between two consecutive properties definitions in an object literal (with no other code between them) is optional. Such blank lines are used as needed to create logical groupings of fields. 
 Within method bodies, sparingly to create logical groupings of statements. Blank lines at the start or end of a function body are not allowed. 
 Optionally before the first or after the last method in a class or object literal (neither encouraged nor discouraged). 
 As required by other sections of this document (e.g. ?? ).
 Multiple consecutive blank lines are permitted, but never required (nor encouraged).","lines-between-class-members: ['error', {'enforce': [{'blankLine': 'always', 'prev': 'method', 'next': 'method'}]}]
padded-blocks: ['error', 'never']
no-multiple-empty-lines: error","lines-between-class-members: ['error', {'enforce': [{'blankLine': 'always', 'prev': 'method', 'next': 'method'}]}]
padded-blocks: ['error', 'never']
no-multiple-empty-lines: ['error', {'max': 'OurSetDefault', 'maxEOF': 'OurSetDefault', 'maxBOF': 'OurSetDefault'}]",Yes,"lines-between-class-members: ['error', 'always', {'exceptAfterSingleLine': True}]
no-multiple-empty-lines: ['error', {'max': 2, 'maxEOF': 0, 'maxBOF': 0}]
padded-blocks: ['error', {'blocks': 'never', 'classes': 'never', 'switches': 'never'}]
padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': 'directive', 'next': '*'}, {'blankLine': 'any', 'prev': 'directive', 'next': 'directive'}, {'blankLine': 'always', 'prev': '*', 'next': ['return', 'throw', 'break', 'continue']}, {'blankLine': 'always', 'prev': ['const', 'let', 'var'], 'next': '*'}, {'blankLine': 'any', 'prev': ['const', 'let', 'var'], 'next': ['const', 'let', 'var']}, {'blankLine': 'always', 'prev': 'block-like', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'block-like'}]",true,"lines-between-class-members
no-multiple-empty-lines
padded-blocks",padding-line-between-statements,,no-multiple-empty-lines,"lines-between-class-members
padded-blocks
padding-line-between-statements","lines-between-class-members
padded-blocks",no-multiple-empty-lines,"lines-between-class-members
padded-blocks
padding-line-between-statements","lines-between-class-members
padded-blocks"
4.6.2 Horizontal whitespace,"Use of horizontal whitespace depends on location, and falls into three broad categories: leading (at the start of a line), trailing (at the end of a line), and internal . Leading whitespace (i.e., indentation) is addressed elsewhere. Trailing whitespace is forbidden.
 Beyond where required by the language or other style rules, and apart from literals, comments, and JSDoc, a single internal ASCII space also appears in the following places only .
 Separating any reserved word (such as `if` , `for` , or `catch` ) except for `function` and `super` , from an open parenthesis ( `(` ) that follows it on that line. 
 Separating any reserved word (such as `else` or `catch` ) from a closing curly brace ( `}` ) that precedes it on that line. 
 Before any open curly brace ( `{` ), with two exceptions: 
 Before an object literal that is the first argument of a function or the first element in an array literal (e.g. `foo({a:[{c:d}]})` ). 
 In a template expansion, as it is forbidden by the language (e.g. valid: ``ab${1+2}cd`` , invalid: ``xy${3}z`` ). 
 On both sides of any binary or ternary operator. 
 After a comma ( `,` ) or semicolon ( `;` ). Note that spaces are never allowed before these characters. 
 After the colon ( `:` ) in an object literal. 
 On both sides of the double slash ( `//` ) that begins an end-of-line comment. Here, multiple spaces are allowed, but not required. 
 After an open-block comment character and on both sides of close characters (e.g. for short-form type declarations, casts, and parameter name comments: `this.foo=/**@type{number}*/(bar)` ; or `function(/**string*/foo){` ; or `baz(/*buzz=*/true)` ).","no-trailing-spaces: error
keyword-spacing: error
spaced-comment: error
space-before-function-paren: ['error', 'never']
space-before-blocks: error
space-infix-ops: error
comma-spacing: error
semi-spacing: error
key-spacing: error","no-trailing-spaces: ['error', {'skipBlankLines': 'OurSetDefault', 'ignoreComments': 'OurSetDefault'}]
keyword-spacing: ['error', {'before': True, 'after': True}]
spaced-comment: ['error', 'always']
space-before-function-paren: ['error', {'anonymous': 'never', 'named': 'never', 'asyncArrow': 'never'}]
space-before-blocks: ['error', 'always']
space-infix-ops: ['error', {'int32Hint': 'OurSetDefault'}]
comma-spacing: ['error', {'before': False, 'after': True}]
semi-spacing: ['error', {'before': False, 'after': True}]
key-spacing: ['error', {'beforeColon': False, 'afterColon': True, 'mode': 'OurSetDefault', 'align': 'OurSetDefault'}]",Yes,"no-trailing-spaces: error
keyword-spacing: ['error', {'before': True, 'after': True, 'overrides': {'function': {'before': False}, 'super': {'before': False}}}]
space-before-blocks: ['error', 'always']
space-infix-ops: error
comma-spacing: ['error', {'before': False, 'after': True}]
key-spacing: ['error', {'beforeColon': False, 'afterColon': True}]
spaced-comment: ['error', 'always', {'line': {'markers': ['/']}, 'block': {'balanced': True}}]
block-spacing: ['error', 'always']
template-curly-spacing: ['error', 'never']",true,"no-trailing-spaces
keyword-spacing
space-before-blocks
space-infix-ops
comma-spacing
key-spacing
spaced-comment","block-spacing
template-curly-spacing","space-before-function-paren
semi-spacing","no-trailing-spaces
space-before-blocks
space-infix-ops
comma-spacing
key-spacing","keyword-spacing
spaced-comment
block-spacing
template-curly-spacing","keyword-spacing
spaced-comment
space-before-function-paren
semi-spacing","no-trailing-spaces
space-before-blocks
space-infix-ops
comma-spacing
key-spacing","keyword-spacing
spaced-comment
block-spacing
template-curly-spacing","keyword-spacing
spaced-comment
space-before-function-paren
semi-spacing"
4.6.3 Horizontal alignment: discouraged,"Terminology Note : Horizontal alignment is the practice of adding a variable number of additional spaces in your code with the goal of making certain tokens appear directly below certain other tokens on previous lines.
 This practice is permitted, but it is generally discouraged by Google Style. It is not even required to maintain horizontal alignment in places where it was already used.
 Here is an example without alignment, followed by one with alignment. Both are allowed, but the latter is discouraged:
 {
  tiny: 42, // this is great
  longer: 435, // this too
 };
 
 {
  tiny: 42, // permitted, but future edits
  longer: 435, // may leave it unaligned
 };
 
 Tip: Alignment can aid readability, but it creates problems for future maintenance. Consider a future change that needs to touch just one line. This change may leave the formerly-pleasing formatting mangled, and that is allowed. More often it prompts the coder (perhaps you) to adjust whitespace on nearby lines as well, possibly triggering a cascading series of reformattings. That one-line change now has a blast radius. This can at worst result in pointless busywork, but at best it still corrupts version history information, slows down reviewers and exacerbates merge conflicts.",,,Yes,"key-spacing: ['error', {'align': 'value'}]
no-multi-spaces: error",true,,"key-spacing
no-multi-spaces",,,"key-spacing
no-multi-spaces",,,"key-spacing
no-multi-spaces",
4.6.4 Function arguments,"Prefer to put all function arguments on the same line as the function name. If doing so would exceed the 80-column limit, the arguments must be line-wrapped in a readable way. To save space, you may wrap as close to 80 as possible, or put each argument on its own line to enhance readability. Indentation should be four spaces. Aligning to the parenthesis is allowed, but discouraged. Below are the most common patterns for argument wrapping:
 // Arguments start on a new line, indented four spaces. Preferred when the
 // arguments don't fit on the same line with the function name (or the keyword
 // ""function"") but fit entirely on the second line. Works with very long
 // function names, survives renaming without reindenting, low on space.
 doSomething(
  descriptiveArgumentOne, descriptiveArgumentTwo, descriptiveArgumentThree) {
  // …
 }
 
 // If the argument list is longer, wrap at 80. Uses less vertical space,
 // but violates the rectangle rule and is thus not recommended.
 doSomething(veryDescriptiveArgumentNumberOne, veryDescriptiveArgumentTwo,
  tableModelEventHandlerProxy, artichokeDescriptorAdapterIterator) {
  // …
 }
 
 // Four-space, one argument per line. Works with long function names,
 // survives renaming, and emphasizes each argument.
 doSomething(
  veryDescriptiveArgumentNumberOne,
  veryDescriptiveArgumentTwo,
  tableModelEventHandlerProxy,
  artichokeDescriptorAdapterIterator) {
  // …
 }","max-len: error
indent: ['error', 2, {'FunctionDeclaration': {'parameters': 2}}]","max-len: ['error', {'code': 80, 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]
indent: ['error', 2, {'ignoredNodes': 'OurSetDefault', 'SwitchCase': 'OurSetDefault', 'VariableDeclarator': 'OurSetDefault', 'outerIIFEBody': 'OurSetDefault', 'MemberExpression': 'OurSetDefault', 'FunctionDeclaration': {'parameters': 2, 'body': 'OurSetDefault'}, 'FunctionExpression': {'parameters': 2, 'body': 'OurSetDefault'}, 'StaticBlock': {'body': 'OurSetDefault'}, 'CallExpression': {'arguments': 'OurSetDefault'}, 'ArrayExpression': 'OurSetDefault', 'ObjectExpression': 'OurSetDefault', 'ImportDeclaration': 'OurSetDefault', 'flatTernaryExpressions': 'OurSetDefault', 'offsetTernaryExpressions': 'OurSetDefault', 'ignoreComments': 'OurSetDefault'}]",Yes,"indent: ['error', 4]
max-len: ['error', 80]
function-paren-newline: ['error', 'multiline']
function-call-argument-newline: ['error', 'consistent']",true,"indent
max-len","function-paren-newline
function-call-argument-newline",,,"indent
max-len
function-paren-newline
function-call-argument-newline","max-len
indent",,"indent
max-len
function-paren-newline
function-call-argument-newline","max-len
indent"
4.7 Grouping parentheses: recommended,"Optional grouping parentheses are omitted only when the author and reviewer agree that there is no reasonable chance that the code will be misinterpreted without them, nor would they have made the code easier to read. It is not reasonable to assume that every reader has the entire operator precedence table memorized.
 Do not use unnecessary parentheses around the entire expression following `delete` , `typeof` , `void` , `return` , `throw` , `case` , `in` , `of` , or `yield` .
 Parentheses are required for type casts: `/**@type{!Foo}*/(foo)` .","no-extra-parens: ['error', 'all', {'allowParensAfterCommentPattern': '@type'}]
arrow-parens: ['error', 'always']","no-extra-parens: ['error', 'all', {'conditionalAssign': 'OurSetDefault', 'returnAssign': 'OurSetDefault', 'nestedBinaryExpressions': 'OurSetDefault', 'ternaryOperandBinaryExpressions': 'OurSetDefault', 'ignoreJSX': 'OurSetDefault', 'enforceForArrowConditionals': 'OurSetDefault', 'enforceForSequenceExpressions': 'OurSetDefault', 'enforceForNewInMemberExpressions': 'OurSetDefault', 'enforceForFunctionPrototypeMethods': 'OurSetDefault', 'allowParensAfterCommentPattern': '@type'}]
arrow-parens: ['error', 'always']",Yes,"arrow-parens: ['error', 'as-needed', {'requireForBlockBody': True}]
no-extra-parens: ['error', 'all', {'nestedBinaryExpressions': False, 'enforceForArrowConditionals': False, 'ignoreJSX': 'all', 'enforceForSequenceExpressions': False, 'enforceForNewInMemberExpressions': False, 'enforceForFunctionPrototypeMethods': False}]
new-parens: error",true,"arrow-parens
no-extra-parens",new-parens,,,"arrow-parens
no-extra-parens
new-parens","no-extra-parens
arrow-parens",,"arrow-parens
no-extra-parens
new-parens","no-extra-parens
arrow-parens"
4.8.1 Block comment style,"Block comments are indented at the same level as the surrounding code. They may be in `/*…*/` or `//` -style. For multi-line `/*…*/` comments, subsequent lines must start with * aligned with the `*` on the previous line, to make comments obvious with no extra context.
 /*
  * This is
  * okay.
  */
 
 // And so
 // is this.
 
 /* This is fine, too. */
 
 Comments are not enclosed in boxes drawn with asterisks or other characters.
 Do not use JSDoc ( `/**…*/` ) for implementation comments.","multiline-comment-style: ['error', 'starred-block']","multiline-comment-style: ['error', 'starred-block']",Yes,"spaced-comment: ['error', 'always', {'block': {'balanced': True, 'markers': ['!'], 'exceptions': ['*']}, 'line': {'markers': ['/'], 'exceptions': ['-', '+']}}]
multiline-comment-style: ['error', 'starred-block']
capitalized-comments: ['error', 'always', {'ignorePattern': 'pragma|ignored', 'ignoreInlineComments': True}]
no-warning-comments: ['error', {'terms': ['todo', 'fixme', 'xxx'], 'location': 'start'}]
valid-jsdoc: ['error', {'requireReturn': False, 'requireReturnType': True, 'requireParamDescription': False, 'requireReturnDescription': False}]",true,multiline-comment-style,"spaced-comment
capitalized-comments
no-warning-comments
valid-jsdoc",,multiline-comment-style,"spaced-comment
capitalized-comments
no-warning-comments
valid-jsdoc",,multiline-comment-style,"spaced-comment
capitalized-comments
no-warning-comments
valid-jsdoc",
4.8.2 Parameter Name Comments,"“Parameter name” comments should be used whenever the value and method name do not sufficiently convey the meaning, and refactoring the method to be clearer is infeasible . Their preferred format is before the value with = :
 someFunction(obviousParam, /* shouldRender= */ true, /* name= */ 'hello');
 
 For consistency with surrounding code you may put them after the value without = :
 someFunction(obviousParam, true /* shouldRender */, 'hello' /* name */);",,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
5.1.1 Use const and let,"Declare all local variables with either `const` or `let` . Use const by default, unless a variable needs to be reassigned. The `var` keyword must not be used.","no-var: error
prefer-const: ['error', {'destructuring': 'any'}]","no-var: error
prefer-const: ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': 'OurSetDefault'}]",Yes,"no-var: error
prefer-const: ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}]",true,"no-var
prefer-const",,,"no-var
prefer-const",,,"no-var
prefer-const",,
5.1.2 One variable per declaration,"Every local variable declaration declares only one variable: declarations such as `leta=1,b=2;` are not used.","one-var: ['error', 'always']","one-var: ['error', {'var': 'always', 'let': 'always', 'const': 'always', 'separateRequires': 'OurSetDefault'}]",Yes,"one-var: ['error', 'never']
one-var-declaration-per-line: ['error', 'always']",true,one-var,one-var-declaration-per-line,,,"one-var
one-var-declaration-per-line",one-var,,"one-var
one-var-declaration-per-line",one-var
"5.1.3 Declared when needed, initialized as soon as possible","Local variables are not habitually declared at the start of their containing block or block-like construct. Instead, local variables are declared close to the point they are first used (within reason), to minimize their scope.",,,Yes,"init-declarations: ['error', 'always']
one-var: ['error', 'never']
vars-on-top: off",true,,"init-declarations
one-var
vars-on-top",,,"init-declarations
one-var
vars-on-top",,,"init-declarations
one-var
vars-on-top",
5.1.4 Declare types as needed,"JSDoc type annotations may be added either on the line above the declaration, or else inline before the variable name if no other JSDoc is present.
 Example:
 const /** !Array<number> */ data = [];
 
 /**
  * Some description.
  * @type {!Array<number>}
  */
 const data = [];
 
 Mixing inline and JSDoc styles is not allowed: the compiler will only process the first JsDoc and the inline annotations will be lost.
 /** Some description. */
 const /** !Array<number> */ data = [];
 
 Tip: There are many cases where the compiler can infer a templatized type but not its parameters. This is particularly the case when the initializing literal or constructor call does not include any values of the template parameter type (e.g., empty arrays, objects, `Map` s, or `Set` s), or if the variable is modified in a closure. Local variable type annotations are particularly helpful in these cases since otherwise the compiler will infer the template parameter as unknown.",,,Yes,"valid-jsdoc: ['error', {'requireReturn': False, 'requireParamDescription': False, 'requireReturnDescription': False, 'prefer': {'return': 'returns'}}]
spaced-comment: ['error', 'always', {'line': {'markers': ['/'], 'exceptions': ['-', '+']}, 'block': {'balanced': True, 'markers': ['!'], 'exceptions': ['*'], 'space': True}}]",true,,"valid-jsdoc
spaced-comment",,,"valid-jsdoc
spaced-comment",,,"valid-jsdoc
spaced-comment",
5.2.1 Use trailing commas,"Include a trailing comma whenever there is a line break between the final element and the closing bracket.
 Example:
 const values = [
  'first value',
  'second value',
 ];","comma-dangle: ['error', 'always']","comma-dangle: ['error', {'arrays': 'always', 'objects': 'OurSetDefault', 'imports': 'OurSetDefault', 'exports': 'OurSetDefault', 'functions': 'OurSetDefault'}]",Yes,"comma-dangle: ['error', {'arrays': 'always-multiline', 'objects': 'always-multiline', 'imports': 'always-multiline', 'exports': 'always-multiline', 'functions': 'always-multiline'}]",true,comma-dangle,,,comma-dangle,,,,comma-dangle,comma-dangle
5.2.2 Do not use the variadic Array constructor,"The constructor is error-prone if arguments are added or removed. Use a literal instead.
 Disallowed:
 const a1 = new Array(x1, x2, x3);
 const a2 = new Array(x1, x2);
 const a3 = new Array(x1);
 const a4 = new Array();
 
 This works as expected except for the third case: if `x1` is a whole number then `a3` is an array of size `x1` where all elements are `undefined` . If `x1` is any other number, then an exception will be thrown, and if it is anything else then it will be a single-element array.
 Instead, write
 const a1 = [x1, x2, x3];
 const a2 = [x1, x2];
 const a3 = [x1];
 const a4 = [];
 
 Explicitly allocating an array of a given length using `newArray(length)` is allowed when appropriate.",no-array-constructor: error,no-array-constructor: error,Yes,no-array-constructor: error,true,no-array-constructor,,,no-array-constructor,,,no-array-constructor,,
5.2.3 Non-numeric properties,Do not define or use non-numeric properties on an array (other than `length` ). Use a `Map` (or `Object` ) instead.,,,Yes,"no-sparse-arrays: error
no-prototype-builtins: error
no-array-constructor: error",true,,"no-sparse-arrays
no-prototype-builtins
no-array-constructor",,,"no-sparse-arrays
no-prototype-builtins
no-array-constructor",,,"no-sparse-arrays
no-prototype-builtins
no-array-constructor",
5.2.4 Destructuring,"Array literals may be used on the left-hand side of an assignment to perform destructuring (such as when unpacking multiple values from a single array or iterable). A final rest element may be included (with no space between the `...` and the variable name). Elements should be omitted if they are unused.
 const [a, b, c, ...rest] = generateResults();
 let [, b,, d] = someArray;
 
 Destructuring may also be used for function parameters (note that a parameter name is required but ignored). Always specify `[]` as the default value if a destructured array parameter is optional, and provide default values on the left hand side:
 /** @param {!Array<number>=} param1 */
 function optionalDestructuring([a = 4, b = 2] = []) { … };
 
 Disallowed:
 function badDestructuring([a, b] = [4, 2]) { … };
 
 Tip: For (un)packing multiple values into a function’s parameter or return, prefer object destructuring to array destructuring when possible, as it allows naming the individual elements and specifying a different type for each.",,,Yes,"prefer-destructuring: ['error', {'array': True, 'object': True}, {'enforceForRenamedProperties': False}]
no-unused-vars: ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True, 'argsIgnorePattern': '^_'}]
rest-spread-spacing: ['error', 'never']",true,,"prefer-destructuring
no-unused-vars
rest-spread-spacing",,,"prefer-destructuring
no-unused-vars
rest-spread-spacing",,,"prefer-destructuring
no-unused-vars
rest-spread-spacing",
5.2.5 Spread operator,"Array literals may include the spread operator ( `...` ) to flatten elements out of one or more other iterables. The spread operator should be used instead of more awkward constructs with `Array.prototype` . There is no space after the `...` .
 Example:
 [...foo] // preferred over Array.prototype.slice.call(foo)
 [...foo, ...bar] // preferred over foo.concat(bar)","rest-spread-spacing: ['error', 'never']","rest-spread-spacing: ['error', 'never']",Yes,"array-bracket-spacing: ['error', 'never']
rest-spread-spacing: ['error', 'never']",true,rest-spread-spacing,array-bracket-spacing,,rest-spread-spacing,array-bracket-spacing,,rest-spread-spacing,array-bracket-spacing,
